date,ym,papua_new_guinea_rnz_body_count,papua_new_guinea_rnz_epu_count,papua_new_guinea_rnz_ratio,papua_new_guinea_png_business_news_body_count,papua_new_guinea_png_business_news_epu_count,papua_new_guinea_png_business_news_ratio,papua_new_guinea_wantok_body_count,papua_new_guinea_wantok_epu_count,papua_new_guinea_wantok_ratio,papua_new_guinea_abc_au_body_count,papua_new_guinea_abc_au_epu_count,papua_new_guinea_abc_au_ratio,papua_new_guinea_post_courier_body_count,papua_new_guinea_post_courier_epu_count,papua_new_guinea_post_courier_ratio,news_total,papua_new_guinea_rnz_weights,papua_new_guinea_png_business_news_weights,papua_new_guinea_wantok_weights,papua_new_guinea_abc_au_weights,papua_new_guinea_post_courier_weights,papua_new_guinea_rnz_z_score,papua_new_guinea_png_business_news_z_score,papua_new_guinea_wantok_z_score,papua_new_guinea_abc_au_z_score,papua_new_guinea_post_courier_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
2016-05-01,2016-5,146,1.0,0.00684931506849315,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,595.0,2.0,0.0033613445378151263,769.0,0.18985695708712613,0.0,0.0,0.036410923276983094,0.7737321196358907,0.5790262958273945,0.0,0.0,0.0,1.6579525549878078,0.4473957701630405,1.3927433152256765,230.88822503591336,85.71232693303446
2016-06-01,2016-6,119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,0.038461538461538464,507.0,0.0,0.0,652.0,0.18251533742331288,0.0,0.0,0.03987730061349693,0.7776073619631901,0.0,0.0,0.0,0.4267606273970451,0.0,0.08535212547940903,0.017018061828716523,2.8212449819205196,16.35180699373729
2016-07-01,2016-7,116,1.0,0.008620689655172414,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,472.0,0.0,0.0,609.0,0.19047619047619047,0.0,0.0,0.034482758620689655,0.7750410509031199,0.7287744757827551,0.0,0.0,0.0,0.0,0.14575489515655102,0.13881418586338193,23.012539807888608,27.92380272436584
2016-08-01,2016-8,114,1.0,0.008771929824561403,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.047619047619047616,573.0,0.0,0.0,708.0,0.16101694915254236,0.0,0.0,0.029661016949152543,0.809322033898305,0.7415599929017508,0.0,0.0,0.5283703005868178,0.0,0.25398605869771373,0.1350757281117553,22.392780326576748,48.65878837343046
2016-09-01,2016-9,85,2.0,0.023529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.047619047619047616,501.0,2.0,0.003992015968063872,607.0,0.1400329489291598,0.0,0.0,0.03459637561779242,0.8253706754530478,1.989125628018814,0.0,0.0,0.5283703005868178,1.9690254894565777,0.8973042836124419,1.9219987230834725,318.6278970738611,171.90604660248408
2016-10-01,2016-10,75,1.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,453.0,0.0,0.0,545.0,0.13761467889908258,0.0,0.0,0.031192660550458717,0.8311926605504587,1.1271711892106613,0.0,0.0,0.0,0.0,0.22543423784213226,0.1551153012675222,25.714929803677364,43.1888148803525
2016-11-01,2016-11,81,2.0,0.024691358024691357,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1.0,0.03125,344.0,0.0,0.0,457.0,0.1772428884026258,0.0,0.0,0.0700218818380744,0.7527352297592997,2.087354054093817,0.0,0.0,0.34674300976009914,0.0,0.48681941277078317,0.39424825972411887,65.3582608626269,93.26512999787913
2016-12-01,2016-12,59,1.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,315.0,0.0,0.0,394.0,0.14974619289340102,0.0,0.0,0.050761421319796954,0.799492385786802,1.4328447320474509,0.0,0.0,0.0,0.0,0.28656894640949016,0.21456304363147108,35.57014401777706,54.901035864854876
2017-01-01,2017-1,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.05555555555555555,411.0,0.0,0.0,491.0,0.12627291242362526,0.0,0.0,0.03665987780040733,0.8370672097759674,0.0,0.0,0.0,0.6164320173512874,0.0,0.12328640347025747,0.022598322428356767,3.746337532000364,23.61927676873164
2017-02-01,2017-2,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2.0,0.08,368.0,0.0,0.0,474.0,0.17088607594936708,0.0,0.0,0.052742616033755275,0.7763713080168776,0.0,0.0,0.0,0.8876621049858539,0.0,0.17753242099717076,0.046817621570983854,7.761399697097801,34.01175854697357
