date,ym,cambodia_khmer_times_body_count,cambodia_khmer_times_epu_count,cambodia_khmer_times_ratio,cambodia_kampuchea_thmey_daily_body_count,cambodia_kampuchea_thmey_daily_epu_count,cambodia_kampuchea_thmey_daily_ratio,news_total,cambodia_khmer_times_weights,cambodia_kampuchea_thmey_daily_weights,cambodia_khmer_times_z_score,cambodia_kampuchea_thmey_daily_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2018-08-01,2018-8,433.0,1.0,0.0023094688221709007,0.0,0.0,0.0,433.0,1.0,0.0,0.27436952000346054,,0.27436952000346054,0.27436952000346054,27.77401132729934,31.552773341824743,27.77401132729934
2018-09-01,2018-9,407.0,4.0,0.009828009828009828,0.0,0.0,0.0,407.0,1.0,0.0,1.1675872448304512,,1.1675872448304512,1.1675872448304512,118.19308997268416,134.2737184964139,118.19308997268416
2018-10-01,2018-10,328.0,0.0,0.0,0.0,0.0,0.0,328.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2018-11-01,2018-11,364.0,1.0,0.0027472527472527475,0.0,0.0,0.0,364.0,1.0,0.0,0.32637912681730336,,0.32637912681730336,0.32637912681730336,33.03886512285883,37.53393092585196,33.03886512285883
2018-12-01,2018-12,390.0,1.0,0.002564102564102564,0.0,0.0,0.0,390.0,1.0,0.0,0.30462051836281645,,0.30462051836281645,0.30462051836281645,30.836274114668242,35.0316688641285,30.836274114668242
2019-01-01,2019-1,384.0,2.0,0.005208333333333333,0.0,0.0,0.0,384.0,1.0,0.0,0.6187604279244708,,0.6187604279244708,0.6187604279244708,62.63618179541986,71.158077380261,62.63618179541986
2019-02-01,2019-2,339.0,1.0,0.0029498525073746312,0.0,0.0,0.0,339.0,1.0,0.0,0.35044838395722244,,0.35044838395722244,0.35044838395722244,35.475359600945765,40.301919932183225,35.475359600945765
2019-03-01,2019-3,351.0,1.0,0.002849002849002849,0.0,0.0,0.0,351.0,1.0,0.0,0.3384672426253516,,0.3384672426253516,0.3384672426253516,34.262526794075825,38.92407651569833,34.262526794075825
2019-04-01,2019-4,296.0,1.0,0.0033783783783783786,0.0,0.0,0.0,296.0,1.0,0.0,0.4013581154104676,,0.4013581154104676,0.4013581154104676,40.628874678110186,46.15659073314228,40.628874678110186
2019-05-01,2019-5,399.0,4.0,0.010025062656641603,0.0,0.0,0.0,399.0,1.0,0.0,1.1909975154034929,,1.1909975154034929,1.1909975154034929,120.56287623780064,136.9659233785475,120.56287623780064
