date,ym,cambodia_khmer_times_body_count,cambodia_khmer_times_epu_count,cambodia_khmer_times_ratio,cambodia_kampuchea_thmey_daily_body_count,cambodia_kampuchea_thmey_daily_epu_count,cambodia_kampuchea_thmey_daily_ratio,news_total,cambodia_khmer_times_weights,cambodia_kampuchea_thmey_daily_weights,cambodia_khmer_times_z_score,cambodia_kampuchea_thmey_daily_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
2017-07-01,2017-7,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0
2017-09-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0
2017-10-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0
2017-11-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0
2017-12-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0
2018-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0
2018-02-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0
2018-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0
2018-04-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0
2018-05-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0
2018-06-01,2018-6,150.0,2.0,0.013333333333333334,0.0,0.0,0.0,150.0,1.0,0.0,0.8992911939282,0.0,0.4496455969641,0.8992911939282,66.74929956169085,71.69741528824544
2018-07-01,2018-7,399.0,4.0,0.010025062656641603,0.0,0.0,0.0,399.0,1.0,0.0,0.676158792427218,0.0,0.338079396213609,0.676158792427218,50.187443279466805,53.907831043793564
2018-08-01,2018-8,433.0,2.0,0.004618937644341801,0.0,0.0,0.0,433.0,1.0,0.0,0.31153274616450344,0.0,0.15576637308225172,0.31153274616450344,23.123313935920617,24.837441785766316
2018-09-01,2018-9,407.0,4.0,0.009828009828009828,0.0,0.0,0.0,407.0,1.0,0.0,0.662868201912678,0.0,0.331434100956339,0.662868201912678,49.20095790788023,52.84821765718337
2018-10-01,2018-10,328.0,0.0,0.0,0.0,0.0,0.0,328.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-01,2018-11,364.0,4.0,0.01098901098901099,0.0,0.0,0.0,364.0,1.0,0.0,0.7411740609298352,0.0,0.3705870304649176,0.7411740609298352,55.013158979415536,59.091276336466024
2018-12-01,2018-12,390.0,3.0,0.007692307692307693,0.0,0.0,0.0,390.0,1.0,0.0,0.5188218426508846,0.0,0.2594109213254423,0.5188218426508846,38.50921128559087,41.363893435526215
2019-01-01,2019-1,384.0,3.0,0.0078125,0.0,0.0,0.0,384.0,1.0,0.0,0.5269284339423046,0.0,0.2634642169711523,0.5269284339423046,39.11091771192823,42.010204270456306
2019-02-01,2019-2,339.0,2.0,0.0058997050147492625,0.0,0.0,0.0,339.0,1.0,0.0,0.3979164574903539,0.0,0.19895822874517696,0.3979164574903539,29.535088301633117,31.724520039046652
2019-03-01,2019-3,351.0,3.0,0.008547008547008548,0.0,0.0,0.0,351.0,1.0,0.0,0.5764687140565384,0.0,0.2882343570282692,0.5764687140565384,42.78801253954542,45.95988159502913
2019-04-01,2019-4,296.0,2.0,0.006756756756756757,0.0,0.0,0.0,296.0,1.0,0.0,0.4557218888149662,0.0,0.2278609444074831,0.4557218888149662,33.825658561667666,36.33314963931357
2019-05-01,2019-5,399.0,6.0,0.015037593984962405,0.0,0.0,0.0,399.0,1.0,0.0,1.014238188640827,0.0,0.5071190943204135,1.014238188640827,75.2811649192002,80.86174656569034
2019-06-01,2019-6,399.0,7.0,0.017543859649122806,0.0,0.0,0.0,399.0,1.0,0.0,1.1832778867476315,0.0,0.5916389433738157,1.1832778867476315,87.8280257390669,94.33870432663873
2019-07-01,2019-7,421.0,5.0,0.011876484560570071,0.0,0.0,0.0,421.0,1.0,0.0,0.8010313485108669,0.0,0.40051567425543344,0.8010313485108669,59.456026925496595,63.86349342777206
2019-08-01,2019-8,347.0,10.0,0.02881844380403458,0.0,0.0,0.0,347.0,1.0,0.0,1.9437129551762244,0.0,0.9718564775881122,1.9437129551762244,144.27082037829433,154.96559500341232
2019-09-01,2019-9,290.0,7.0,0.02413793103448276,0.0,0.0,0.0,290.0,1.0,0.0,1.6280271614217412,0.0,0.8140135807108706,1.6280271614217412,120.8392492065093,129.79704491837535
2019-10-01,2019-10,333.0,4.0,0.012012012012012012,0.0,0.0,0.0,333.0,1.0,0.0,0.810172246782162,0.0,0.405086123391081,0.810172246782162,60.13450410963139,64.59226602544634
2019-11-01,2019-11,232.0,9.0,0.03879310344827586,0.0,0.0,0.0,232.0,1.0,0.0,2.616472223713513,0.0,1.3082361118567565,2.616472223713513,194.2059362247471,208.60239361881756
2019-12-01,2019-12,297.0,3.0,0.010101010101010102,0.0,0.0,0.0,297.0,1.0,0.0,0.6812812075213637,0.0,0.34064060376068184,0.6812812075213637,50.56765118309914,54.316223703216245
2020-01-01,2020-1,382.0,2.0,0.005235602094240838,0.0,0.0,0.0,382.0,1.0,0.0,0.35312481436971205,0.0,0.17656240718485602,0.35312481436971205,26.210457943072324,28.153435322609468
2020-02-01,2020-2,401.0,12.0,0.029925187032418952,0.0,0.0,0.0,401.0,1.0,0.0,2.0183592881181545,0.0,1.0091796440590772,2.0183592881181545,149.81139552499192,160.9168921681319
2020-03-01,2020-3,487.0,14.0,0.028747433264887063,0.0,0.0,0.0,487.0,1.0,0.0,1.9389235187363654,0.0,0.9694617593681827,1.9389235187363654,143.91532759707474,154.5837495947797
2020-04-01,2020-4,499.0,22.0,0.04408817635270541,0.0,0.0,0.0,499.0,1.0,0.0,2.973608156275611,0.0,1.4868040781378056,2.973608156275611,220.71411678715413,237.07562169459916
2020-05-01,2020-5,387.0,14.0,0.03617571059431524,0.0,0.0,0.0,387.0,1.0,0.0,2.439937347867209,0.0,1.2199686739336044,2.439937347867209,181.1027507487736,194.5278709371
2020-06-01,2020-6,433.0,10.0,0.023094688221709007,5.0,0.0,0.0,438.0,0.9885844748858448,0.01141552511415525,1.5576637308225172,0.0,0.7788318654112586,1.539882181383904,114.2967458248131,124.1872089288316
2020-07-01,2020-7,436.0,23.0,0.052752293577981654,0.0,0.0,0.0,436.0,1.0,0.0,3.5579754805645525,0.0,1.7789877402822762,3.5579754805645525,264.08839849522184,283.6652325050995
2020-08-01,2020-8,383.0,8.0,0.020887728459530026,10.0,0.0,0.0,393.0,0.9745547073791349,0.02544529262086514,1.40881126986141,0.0,0.704405634930705,1.3729636548522137,101.90732757510054,112.31971063432707
2020-09-01,2020-9,390.0,7.0,0.017948717948717947,6.0,0.0,0.0,396.0,0.9848484848484849,0.015151515151515152,1.2105842995187306,0.0,0.6052921497593653,1.1922421131623862,88.49338957042346,96.51575134956116
2020-10-01,2020-10,452.0,16.0,0.035398230088495575,273.0,3.0,0.01098901098901099,725.0,0.623448275862069,0.37655172413793103,2.3874987449421234,4.935684941255124,3.6615918430986234,3.34702265058826,248.43056292811605,583.8524223593239
2020-11-01,2020-11,410.0,13.0,0.03170731707317073,912.0,6.0,0.006578947368421052,1322.0,0.3101361573373676,0.6898638426626323,2.138558327024378,2.9549166424619484,2.546737484743163,2.7017344115017337,200.53446624081604,406.0853621309911
2020-12-01,2020-12,485.0,22.0,0.04536082474226804,1225.0,9.0,0.007346938775510204,1710.0,0.28362573099415206,0.716374269005848,3.0594442680031544,3.299857932153425,3.1796511000782894,3.231670430917822,239.86862001365805,507.0054436944505
2021-01-01,2021-1,479.0,12.0,0.025052192066805846,1037.0,11.0,0.010607521697203472,1516.0,0.3159630606860158,0.6840369393139841,1.6896911785707307,4.764340044548098,3.2270156115594144,3.7928645783191017,281.52288785267626,514.557865140397
2021-02-01,2021-2,498.0,15.0,0.030120481927710843,1019.0,3.0,0.002944062806673209,1517.0,0.32827949901120634,0.6717205009887937,2.031531311584789,1.3223179479515688,1.6769246297681788,1.5551381556571346,115.4291105179679,267.39094611255734
2021-03-01,2021-3,747.0,30.0,0.040160642570281124,1422.0,13.0,0.009142053445850914,2169.0,0.34439834024896265,0.6556016597510373,2.7087084154463854,4.106128892760064,3.4074186541032248,3.6248595997433197,269.05282841194554,543.3237019413282
2021-04-01,2021-4,1045.0,31.0,0.02966507177033493,1322.0,12.0,0.009077155824508321,2367.0,0.44148711449091677,0.5585128855090832,2.0008153357732676,4.076980299433128,3.038897817603198,3.160380220419797,234.5771508560844,484.56188677999
