date,ym,china_daily_body_count,china_daily_epu_count,china_daily_ratio,china_caixin_global_body_count,china_caixin_global_epu_count,china_caixin_global_ratio,china_people_s_daily_online_body_count,china_people_s_daily_online_epu_count,china_people_s_daily_online_ratio,news_total,china_daily_weights,china_caixin_global_weights,china_people_s_daily_online_weights,china_daily_z_score,china_caixin_global_z_score,china_people_s_daily_online_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_job
2018-01-01,2018-1,247.0,2.0,0.008097165991902834,36.0,1.0,0.027777777777777776,0.0,0.0,0.0,283.0,0.872791519434629,0.127208480565371,0.0,0.44379296580000543,1.3094004269131778,,0.8765966963565917,0.5539055756942606,72.74816398465947,128.00591020866725,72.74816398465947
2018-02-01,2018-2,158.0,1.0,0.006329113924050633,31.0,0.0,0.0,0.0,0.0,0.0,189.0,0.8359788359788359,0.164021164021164,0.0,0.34688880554620677,0.0,,0.17344440277310338,0.2899916998746067,38.08657045964204,25.327392562449553,38.08657045964204
2018-03-01,2018-3,230.0,3.0,0.013043478260869565,49.0,3.0,0.061224489795918366,0.0,0.0,0.0,279.0,0.8243727598566308,0.17562724014336917,0.0,0.7148925818647913,2.886025430747412,,1.8004590063061017,1.0962026520986565,143.97170527727187,262.9138289632023,143.97170527727187
2018-04-01,2018-4,189.0,0.0,0.0,39.0,1.0,0.02564102564102564,0.0,0.0,0.0,228.0,0.8289473684210527,0.17105263157894737,0.0,0.0,1.2086773171506255,,0.6043386585753128,0.20674743582839647,27.153538482078673,88.24915766480255,27.153538482078673
2018-05-01,2018-5,149.0,3.0,0.020134228187919462,43.0,1.0,0.023255813953488372,0.0,0.0,0.0,192.0,0.7760416666666666,0.22395833333333334,0.0,1.1035254619389396,1.0962422178808,,1.0998838399098698,1.1018943187384187,144.7192303360988,160.61163889464873,144.7192303360988
2018-06-01,2018-6,121.0,1.0,0.008264462809917356,28.0,0.0,0.0,0.0,0.0,0.0,149.0,0.8120805369127517,0.18791946308724833,0.0,0.45296224195289814,0.0,,0.22648112097644907,0.36784182064631327,48.311153133371455,33.072132436917606,48.311153133371455
2018-07-01,2018-7,182.0,6.0,0.03296703296703297,41.0,1.0,0.024390243902439025,0.0,0.0,0.0,223.0,0.8161434977578476,0.18385650224215247,0.0,1.806871360757165,1.1497174480213268,,1.4782944043892459,1.6860493409268091,221.44025863295073,215.86942042643497,221.44025863295073
2018-08-01,2018-8,121.0,2.0,0.01652892561983471,36.0,0.0,0.0,0.0,0.0,0.0,157.0,0.7707006369426752,0.22929936305732485,0.0,0.9059244839057963,0.0,,0.45296224195289814,0.6981965767681615,91.69887664805537,66.14426487383521,91.69887664805537
2018-09-01,2018-9,107.0,1.0,0.009345794392523364,26.0,0.0,0.0,0.0,0.0,0.0,133.0,0.8045112781954887,0.19548872180451127,0.0,0.5122283296850529,0.0,,0.25611416484252647,0.41209346824286214,54.12302117949131,37.39932733520588,54.12302117949131
2018-10-01,2018-10,129.0,3.0,0.023255813953488372,39.0,1.0,0.02564102564102564,0.0,0.0,0.0,168.0,0.7678571428571429,0.23214285714285715,0.0,1.2746146808442016,1.2086773171506255,,1.2416459989974136,1.2593077928439071,165.39340609839866,181.31260010357067,165.39340609839866
2018-11-01,2018-11,78.0,5.0,0.0641025641025641,44.0,2.0,0.045454545454545456,0.0,0.0,0.0,122.0,0.639344262295082,0.36065573770491804,0.0,3.513360979250043,2.1426552440397457,,2.8280081116448943,3.019008091141411,396.50674288680005,412.96271582267053,396.50674288680005
2018-12-01,2018-12,105.0,2.0,0.01904761904761905,32.0,2.0,0.0625,0.0,0.0,0.0,137.0,0.7664233576642335,0.23357664233576642,0.0,1.0439701195485842,2.94615096055465,,1.995060540051617,1.4882751335062054,195.46523490198956,291.3307127578044,195.46523490198956
2019-01-01,2019-1,96.0,2.0,0.020833333333333332,31.0,1.0,0.03225806451612903,0.0,0.0,0.0,127.0,0.7559055118110236,0.2440944881889764,0.0,1.1418423182562638,1.5205940441572388,,1.3312181812067512,1.2342935269407538,162.10811344613094,194.39246768776093,162.10811344613094
2019-02-01,2019-2,81.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,102.0,0.7941176470588235,0.20588235294117646,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2019-03-01,2019-3,139.0,4.0,0.02877697841726619,25.0,1.0,0.04,0.0,0.0,0.0,164.0,0.8475609756097561,0.1524390243902439,0.0,1.5772210439223215,1.8855366147549761,,1.7313788293386487,1.6242203687443724,213.3198417158739,252.82632696045977,213.3198417158739
2019-04-01,2019-4,97.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,113.0,0.8584070796460177,0.1415929203539823,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2019-05-01,2019-5,139.0,2.0,0.014388489208633094,26.0,1.0,0.038461538461538464,0.0,0.0,0.0,165.0,0.8424242424242424,0.15757575757575756,0.0,0.7886105219611608,1.8130159757259385,,1.3008132488435495,0.9500319874028833,124.77412368277957,189.9525569988877,124.77412368277957
2019-06-01,2019-6,99.0,1.0,0.010101010101010102,12.0,0.0,0.0,0.0,0.0,0.0,111.0,0.8918918918918919,0.10810810810810811,0.0,0.5536205179424311,0.0,,0.27681025897121553,0.49376965113784393,64.85010645830943,40.42149520067707,64.85010645830943
2019-07-01,2019-7,118.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,140.0,0.8428571428571429,0.15714285714285714,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2019-08-01,2019-8,93.0,0.0,0.0,29.0,2.0,0.06896551724137931,0.0,0.0,0.0,122.0,0.7622950819672131,0.23770491803278687,0.0,0.0,3.250925197853407,,1.6254625989267035,0.7727609076864655,101.491914326458,237.35980337429655,101.491914326458
2019-09-01,2019-9,75.0,1.0,0.013333333333333334,17.0,1.0,0.058823529411764705,0.0,0.0,0.0,92.0,0.8152173913043478,0.18478260869565216,0.0,0.730779083684009,2.7728479628749647,,1.751813523279487,1.1081178983171203,145.5366151172422,255.81032360179373,145.5366151172422
2019-10-01,2019-10,74.0,1.0,0.013513513513513514,16.0,0.0,0.0,0.0,0.0,0.0,90.0,0.8222222222222222,0.17777777777777778,0.0,0.7406544767067659,0.0,,0.37032723835338294,0.6089825697366741,79.98179796524828,54.077405741446356,79.98179796524828
2019-11-01,2019-11,88.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,111.0,0.7927927927927928,0.2072072072072072,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2019-12-01,2019-12,126.0,3.0,0.023809523809523808,16.0,0.0,0.0,0.0,0.0,0.0,142.0,0.8873239436619719,0.11267605633802817,0.0,1.3049626494357303,0.0,,0.6524813247178651,1.1579246044288876,152.07806655364112,95.27923868731023,152.07806655364112
2020-01-01,2020-1,88.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,124.0,0.7096774193548387,0.2903225806451613,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-02-01,2020-2,59.0,1.0,0.01694915254237288,65.0,2.0,0.03076923076923077,0.0,0.0,0.0,124.0,0.47580645161290325,0.5241935483870968,0.0,0.9289564623101809,1.450412780580751,,1.189684621445466,1.2023005001133023,157.90625294113084,173.72488792432293,157.90625294113084
2020-03-01,2020-3,35.0,3.0,0.08571428571428572,67.0,4.0,0.05970149253731343,0.0,0.0,0.0,102.0,0.3431372549019608,0.6568627450980392,0.0,4.697865537968629,2.814233753365636,,3.756049645667132,3.4605779931803884,454.50110339483126,548.4809099565437,454.50110339483126
2020-04-01,2020-4,92.0,2.0,0.021739130434782608,63.0,3.0,0.047619047619047616,0.0,0.0,0.0,155.0,0.5935483870967742,0.4064516129032258,0.0,1.191487636441319,2.244686446136876,,1.7180870412890976,1.6195619913498356,212.70802551926775,250.88538030317125,212.70802551926775
2020-05-01,2020-5,144.0,4.0,0.027777777777777776,39.0,2.0,0.05128205128205128,0.0,0.0,0.0,183.0,0.7868852459016393,0.21311475409836064,0.0,1.5224564243416852,2.417354634301251,,1.9699055293214682,1.713172436300281,225.0025181164877,287.65742713146705,225.0025181164877
2020-06-01,2020-6,77.0,2.0,0.025974025974025976,52.0,2.0,0.038461538461538464,0.0,0.0,0.0,129.0,0.5968992248062015,0.40310077519379844,0.0,1.4235956175662512,1.8130159757259385,,1.6183057966460948,1.5805712658166677,207.58710993467108,236.31472415608772,207.58710993467108
2020-07-01,2020-7,93.0,2.0,0.021505376344086023,62.0,1.0,0.016129032258064516,0.0,0.0,0.0,155.0,0.6,0.4,0.0,1.178675941425821,0.7602970220786194,,0.9694864817522202,1.0113243736869404,132.82406714618472,141.57023411962376,132.82406714618472
2020-08-01,2020-8,52.0,3.0,0.057692307692307696,39.0,1.0,0.02564102564102564,0.0,0.0,0.0,91.0,0.5714285714285714,0.42857142857142855,0.0,3.162024881325039,1.2086773171506255,,2.185351099237832,2.32487592525029,305.34167279704366,319.11808217636195,305.34167279704366
2020-09-01,2020-9,64.0,1.0,0.015625,50.0,1.0,0.02,0.0,0.0,0.0,114.0,0.5614035087719298,0.43859649122807015,0.0,0.856381738692198,0.9427683073774881,,0.899575023034843,0.8942705846067989,117.4506016735639,131.36134336709335,117.4506016735639
2020-10-01,2020-10,89.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,139.0,0.6402877697841727,0.3597122302158273,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-11-01,2020-11,84.0,0.0,0.0,41.0,1.0,0.024390243902439025,0.0,0.0,0.0,125.0,0.672,0.328,0.0,0.0,1.1497174480213268,,0.5748587240106634,0.3771073229509952,49.528054191311504,83.9443207055439,49.528054191311504
2020-12-01,2020-12,77.0,1.0,0.012987012987012988,59.0,0.0,0.0,0.0,0.0,0.0,136.0,0.5661764705882353,0.4338235294117647,0.0,0.7117978087831256,0.0,,0.3558989043915628,0.40300317114926965,52.92913100641431,51.97049382944194,52.92913100641431
2021-01-01,2021-1,84.0,2.0,0.023809523809523808,62.0,1.0,0.016129032258064516,0.0,0.0,0.0,146.0,0.5753424657534246,0.4246575342465753,0.0,1.3049626494357303,0.7602970220786194,,1.0326298357571748,1.0736662871333955,141.0118521072509,150.7908056054925,141.0118521072509
2021-02-01,2021-2,67.0,0.0,0.0,49.0,1.0,0.02040816326530612,0.0,0.0,0.0,116.0,0.5775862068965517,0.4224137931034483,0.0,0.0,0.962008476915804,,0.481004238457902,0.4063656497316759,53.37074805098223,70.23912548831224,53.37074805098223
2021-03-01,2021-3,123.0,6.0,0.04878048780487805,66.0,4.0,0.06060606060606061,0.0,0.0,0.0,189.0,0.6507936507936508,0.3492063492063492,0.0,2.6735820134780814,2.856873658719661,,2.7652278360988714,2.7375886197529185,359.54602114756517,403.79516323227097,359.54602114756517
2021-04-01,2021-4,89.0,1.0,0.011235955056179775,54.0,1.0,0.018518518518518517,0.0,0.0,0.0,143.0,0.6223776223776224,0.3776223776223776,0.0,0.6158250705202323,0.8729336179421184,,0.7443793442311754,0.7129150115047207,93.63194818731667,108.69873899237396,93.63194818731667
2021-05-01,2021-5,53.0,1.0,0.018867924528301886,67.0,0.0,0.0,0.0,0.0,0.0,120.0,0.44166666666666665,0.5583333333333333,0.0,1.0341213448358617,0.0,,0.5170606724179309,0.4567369273025056,59.98634847393621,75.5043023559817,59.98634847393621
2021-06-01,2021-6,103.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,192.0,0.5364583333333334,0.4635416666666667,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2021-07-01,2021-7,65.0,0.0,0.0,101.0,1.0,0.009900990099009901,0.0,0.0,0.0,166.0,0.39156626506024095,0.608433734939759,0.0,0.0,0.4667169838502416,,0.2333584919251208,0.28396635764382167,37.29522152960204,34.07640741512178,37.29522152960204
2021-08-01,2021-8,102.0,1.0,0.00980392156862745,78.0,1.0,0.01282051282051282,0.0,0.0,0.0,180.0,0.5666666666666667,0.43333333333333335,0.0,0.5373375615323596,0.6043386585753128,,0.5708381100538362,0.5663713702509726,74.3853810599238,83.35720652717609,74.3853810599238
2021-09-01,2021-9,81.0,1.0,0.012345679012345678,50.0,0.0,0.0,0.0,0.0,0.0,131.0,0.6183206106870229,0.3816793893129771,0.0,0.6766472997074157,0.0,,0.33832364985370783,0.4183849715748143,54.949326846353785,49.404049689716416,54.949326846353785
2021-10-01,2021-10,78.0,2.0,0.02564102564102564,58.0,1.0,0.017241379310344827,0.0,0.0,0.0,136.0,0.5735294117647058,0.4264705882352941,0.0,1.4053443917000172,0.8127312994633518,,1.1090378455816845,1.1526123376579098,151.38037064454875,161.94836173760055,151.38037064454875
2021-11-01,2021-11,99.0,1.0,0.010101010101010102,53.0,0.0,0.0,0.0,0.0,0.0,152.0,0.6513157894736842,0.34868421052631576,0.0,0.5536205179424311,0.0,,0.27681025897121553,0.3605817847125044,47.3576435320549,40.42149520067707,47.3576435320549
2021-12-01,2021-12,107.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,161.0,0.6645962732919255,0.33540372670807456,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2022-01-01,2022-1,63.0,3.0,0.047619047619047616,54.0,0.0,0.0,0.0,0.0,0.0,117.0,0.5384615384615384,0.46153846153846156,0.0,2.6099252988714605,0.0,,1.3049626494357303,1.4053443917000172,184.57337991980373,190.55847737462045,184.57337991980373
2022-02-01,2022-2,43.0,1.0,0.023255813953488372,50.0,0.0,0.0,0.0,0.0,0.0,93.0,0.46236559139784944,0.5376344086021505,0.0,1.2746146808442016,0.0,,0.6373073404221008,0.5893379707129104,77.4017399663693,93.06344243876813,77.4017399663693
2022-03-01,2022-3,112.0,3.0,0.026785714285714284,65.0,0.0,0.0,0.0,0.0,0.0,177.0,0.632768361581921,0.3672316384180791,0.0,1.4680829806151965,0.0,,0.7340414903075982,0.9289564623101809,122.0061324893618,107.189143523224,122.0061324893618
2022-04-01,2022-4,72.0,1.0,0.013888888888888888,44.0,0.0,0.0,0.0,0.0,0.0,116.0,0.6206896551724138,0.3793103448275862,0.0,0.7612282121708426,0.0,,0.3806141060854213,0.47248647651983333,62.05484324889952,55.57955590093096,62.05484324889952
2022-05-01,2022-5,45.0,2.0,0.044444444444444446,48.0,0.0,0.0,0.0,0.0,0.0,93.0,0.4838709677419355,0.5161290322580645,0.0,2.435930278946697,0.0,,1.2179651394733484,1.178675941425821,154.80347993273864,177.85457888297913,154.80347993273864
2022-06-01,2022-6,52.0,1.0,0.019230769230769232,53.0,0.0,0.0,0.0,0.0,0.0,105.0,0.49523809523809526,0.5047619047619047,0.0,1.054008293775013,0.0,,0.5270041468875065,0.5219850597742922,68.55582682735569,76.95630817051982,68.55582682735569
2022-07-01,2022-7,48.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,98.0,0.4897959183673469,0.5102040816326531,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2022-08-01,2022-8,45.0,2.0,0.044444444444444446,51.0,0.0,0.0,0.0,0.0,0.0,96.0,0.46875,0.53125,0.0,2.435930278946697,0.0,,1.2179651394733484,1.141842318256264,149.96587118484055,177.85457888297913,149.96587118484055
2022-09-01,2022-9,65.0,1.0,0.015384615384615385,51.0,0.0,0.0,0.0,0.0,0.0,116.0,0.5603448275862069,0.4396551724137931,0.0,0.8432066350200104,0.0,,0.4216033175100052,0.47248647651983333,62.05484324889952,61.56504653641585,62.05484324889952
