date,ym,vietnam_net_body_count,vietnam_net_epu_count,vietnam_net_ratio,vietnam_tuoi_tre_body_count,vietnam_tuoi_tre_epu_count,vietnam_tuoi_tre_ratio,vietnam_dan_tri_body_count,vietnam_dan_tri_epu_count,vietnam_dan_tri_ratio,vietnam_news_body_count,vietnam_news_epu_count,vietnam_news_ratio,news_total,vietnam_net_weights,vietnam_tuoi_tre_weights,vietnam_dan_tri_weights,vietnam_news_weights,vietnam_net_z_score,vietnam_tuoi_tre_z_score,vietnam_dan_tri_z_score,vietnam_news_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
2015-01-01,2015-1,90,0.0,0.0,227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.0,0.28391167192429023,0.7160883280757098,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
2015-02-01,2015-2,53,0.0,0.0,149,1.0,0.006711409395973154,0.0,0.0,0.0,0.0,0.0,0.0,202.0,0.2623762376237624,0.7376237623762376,0.0,0.0,,0.6030976123935111,,0.0,0.30154880619675556,0.4448591299338275,42.645103823652946,18.50309400050077
2015-03-01,2015-3,82,0.0,0.0,264,3.0,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,346.0,0.23699421965317918,0.7630057803468208,0.0,0.0,,1.0211539118935586,,0.0,0.5105769559467793,0.7791463373985533,74.69055756397019,31.329102341756986
2015-04-01,2015-4,85,0.0,0.0,213,4.0,0.018779342723004695,0.0,0.0,0.0,0.0,0.0,0.0,298.0,0.28523489932885904,0.714765100671141,0.0,0.0,,1.687540737025975,,0.0,0.8437703685129875,1.2061952247870225,115.62833519970332,51.77391560703502
2015-05-01,2015-5,159,0.0,0.0,235,3.0,0.01276595744680851,0.0,0.0,0.0,0.0,0.0,0.0,394.0,0.4035532994923858,0.5964467005076142,0.0,0.0,,1.147168649957019,,0.0,0.5735843249785095,0.6842249561926382,65.59120029729361,35.19524688605891
2015-06-01,2015-6,117,0.0,0.0,197,2.0,0.01015228426395939,0.0,0.0,0.0,0.0,0.0,0.0,314.0,0.37261146496815284,0.6273885350318471,0.0,0.0,,0.9122999415901842,,0.0,0.4561499707950921,0.5723665238639054,54.868222753999326,27.98945183832096
2015-07-01,2015-7,89,0.0,0.0,201,3.0,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,290.0,0.30689655172413793,0.6931034482758621,0.0,0.0,,1.3412170783079576,,0.0,0.6706085391539788,0.9296021818617224,89.11356178321961,41.14867173245693
2015-08-01,2015-8,109,0.0,0.0,218,4.0,0.01834862385321101,0.0,0.0,0.0,0.0,0.0,0.0,327.0,0.3333333333333333,0.6666666666666666,0.0,0.0,,1.6488356742501498,,0.0,0.8244178371250749,1.099223782833433,105.37383452450024,50.5864404784333
2015-09-01,2015-9,141,0.0,0.0,177,5.0,0.02824858757062147,0.0,0.0,0.0,0.0,0.0,0.0,318.0,0.44339622641509435,0.5566037735849056,0.0,0.0,,2.5384617018822926,,0.0,1.2692308509411463,1.412917362368446,135.44514107512416,77.88025440888742
2015-10-01,2015-10,139,0.0,0.0,194,1.0,0.005154639175257732,0.0,0.0,0.0,0.0,0.0,0.0,333.0,0.4174174174174174,0.5825825825825826,0.0,0.0,,0.46320383632285134,,0.0,0.23160191816142567,0.26985448722712657,25.868801718852534,14.211139206570179
