date,ym,vietnam_net_body_count,vietnam_net_epu_count,vietnam_net_ratio,vietnam_tuoi_tre_body_count,vietnam_tuoi_tre_epu_count,vietnam_tuoi_tre_ratio,vietnam_dan_tri_body_count,vietnam_dan_tri_epu_count,vietnam_dan_tri_ratio,vietnam_news_body_count,vietnam_news_epu_count,vietnam_news_ratio,news_total,vietnam_net_weights,vietnam_tuoi_tre_weights,vietnam_dan_tri_weights,vietnam_news_weights,vietnam_net_z_score,vietnam_tuoi_tre_z_score,vietnam_dan_tri_z_score,vietnam_news_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2015-01-01,2015-1,90,0.0,0.0,227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.0,0.28391167192429023,0.7160883280757098,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-01,2015-2,53,0.0,0.0,149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,0.2623762376237624,0.7376237623762376,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01,2015-3,82,0.0,0.0,264,2.0,0.007575757575757576,0.0,0.0,0.0,0.0,0.0,0.0,346.0,0.23699421965317918,0.7630057803468208,0.0,0.0,,0.891417495451655,,0.0,0.4457087477258275,0.6801567017318986,73.55777843589337,31.889829215786776,73.55777843589337
2015-04-01,2015-4,85,0.0,0.0,213,4.0,0.018779342723004695,0.0,0.0,0.0,0.0,0.0,0.0,298.0,0.28523489932885904,0.714765100671141,0.0,0.0,,2.209710974640722,,0.0,1.104855487320361,1.5794242872432007,170.81202240818192,79.05084425321792,170.81202240818192
2015-05-01,2015-5,159,0.0,0.0,235,2.0,0.00851063829787234,0.0,0.0,0.0,0.0,0.0,0.0,394.0,0.4035532994923858,0.5964467005076142,0.0,0.0,,1.0014222076563273,,0.0,0.5007111038281636,0.5972949715716672,64.59642471781498,35.825169842415775,64.59642471781498
2015-06-01,2015-6,117,0.0,0.0,197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.0,0.37261146496815284,0.6273885350318471,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-01,2015-7,89,0.0,0.0,201,1.0,0.004975124378109453,0.0,0.0,0.0,0.0,0.0,0.0,290.0,0.30689655172413793,0.6931034482758621,0.0,0.0,,0.5854085044757137,,0.0,0.29270425223785684,0.4057486531021326,43.88101954968811,20.94257441036743,43.88101954968811
2015-08-01,2015-8,109,0.0,0.0,218,3.0,0.013761467889908258,0.0,0.0,0.0,0.0,0.0,0.0,327.0,0.3333333333333333,0.6666666666666666,0.0,0.0,,1.6192721477011716,,0.0,0.8096360738505858,1.0795147651341144,116.74766669183077,57.928313621337445,116.74766669183077
2015-09-01,2015-9,141,0.0,0.0,177,2.0,0.011299435028248588,0.0,0.0,0.0,0.0,0.0,0.0,318.0,0.44339622641509435,0.5566037735849056,0.0,0.0,,1.3295718576228075,,0.0,0.6647859288114037,0.7400447132051475,80.03456395855065,47.56449103371587,80.03456395855065
2015-10-01,2015-10,139,0.0,0.0,194,1.0,0.005154639175257732,0.0,0.0,0.0,0.0,0.0,0.0,333.0,0.4174174174174174,0.5825825825825826,0.0,0.0,,0.6065314917506106,,0.0,0.3032657458753053,0.3533546828817371,38.214701709938595,21.698234311772442,38.214701709938595
2015-11-01,2015-11,211,0.0,0.0,232,2.0,0.008620689655172414,0.0,0.0,0.0,0.0,0.0,0.0,443.0,0.4762979683972912,0.5237020316027088,0.0,0.0,,1.0143716327553316,,0.0,0.5071858163776658,0.531228484874124,57.45144771742462,36.28842634899874,57.45144771742462
2015-12-01,2015-12,139,0.0,0.0,180,1.0,0.005555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.43573667711598746,0.5642633228840125,0.0,0.0,,0.6537061633312137,,0.0,0.32685308166560684,0.36886241191102964,39.89183595426192,23.385874758243634,39.89183595426192
2016-01-01,2016-1,189,0.0,0.0,164,8.0,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.5354107648725213,0.46458923512747874,0.0,0.0,,5.739858995103339,,0.0,2.8699294975516696,2.666676700274639,288.3965024228794,205.3393881211636,288.3965024228794
2016-02-01,2016-2,122,0.0,0.0,148,1.0,0.006756756756756757,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.45185185185185184,0.5481481481481482,0.0,0.0,,0.7950480364839085,,0.0,0.39752401824195427,0.4358041088874758,47.13146544225761,28.442280111377393,47.13146544225761
2016-03-01,2016-3,62,0.0,0.0,219,3.0,0.0136986301369863,0.0,0.0,0.0,199.0,10.0,0.05025125628140704,480.0,0.12916666666666668,0.45625,0.0,0.41458333333333336,,1.6118782109536773,,1.9020622228097253,1.7569702168817014,1.5239827302874807,164.81611330031674,125.70872893894193,164.81611330031674
2016-04-01,2016-4,143,0.0,0.0,205,3.0,0.014634146341463415,0.0,0.0,0.0,271.0,24.0,0.08856088560885608,619.0,0.2310177705977383,0.33117932148626816,0.0,0.4378029079159935,,1.721957698531002,,3.352121467210054,2.537039582870528,2.0378453082597416,220.38946802979768,181.52158651640437,220.38946802979768
2016-05-01,2016-5,270,0.0,0.0,234,3.0,0.01282051282051282,0.0,0.0,0.0,207.0,15.0,0.07246376811594203,711.0,0.379746835443038,0.3291139240506329,0.0,0.2911392405063291,,1.508552684610493,,2.742828857529966,2.1256907710702295,1.295030804089393,140.05535593827528,152.09016201921767,140.05535593827528
2016-06-01,2016-6,200,0.0,0.0,223,0.0,0.0,0.0,0.0,0.0,208.0,17.0,0.08173076923076923,631.0,0.31695721077654515,0.35340729001584786,0.0,0.329635499207607,,0.0,,3.0935944710410097,1.5467972355205049,1.0197585578074961,110.2851355611248,110.67114999174976,110.2851355611248
2016-07-01,2016-7,306,0.0,0.0,212,0.0,0.0,0.0,0.0,0.0,252.0,16.0,0.06349206349206349,770.0,0.3974025974025974,0.2753246753246753,0.0,0.32727272727272727,,0.0,,2.4032405227881606,1.2016202613940803,0.7865150801852162,85.060254287633,85.97422669760579,85.060254287633
2016-08-01,2016-8,212,0.0,0.0,222,1.0,0.0045045045045045045,0.0,0.0,0.0,243.0,13.0,0.053497942386831275,677.0,0.31314623338257014,0.32791728212703103,0.0,0.35893648449039883,,0.5300320243226057,,2.0249526627196537,1.2774923435211296,0.9006360508722221,97.40224114934999,91.40276664353053,97.40224114934999
2016-09-01,2016-9,208,0.0,0.0,191,2.0,0.010471204188481676,0.0,0.0,0.0,246.0,9.0,0.036585365853658534,645.0,0.32248062015503876,0.2961240310077519,0.0,0.3813953488372093,,1.2321163287918164,,1.3847940817285438,1.30845520526018,0.8930132758208662,96.57785112736457,93.61811551861639,96.57785112736457
2016-10-01,2016-10,224,0.0,0.0,193,3.0,0.015544041450777202,0.0,0.0,0.0,248.0,14.0,0.056451612903225805,665.0,0.3368421052631579,0.29022556390977444,0.0,0.37293233082706767,,1.829022425900805,,2.1367521583660865,1.9828872921334457,1.327693027779917,143.58771930003218,141.87277549057012,143.58771930003218
2016-11-01,2016-11,315,0.0,0.0,188,1.0,0.005319148936170213,0.0,0.0,0.0,283.0,20.0,0.0706713780918728,786.0,0.40076335877862596,0.23918575063613232,0.0,0.36005089058524176,,0.6258888797852046,,2.674985034198836,1.6504369569920203,1.1128344453917165,120.35113285147115,118.08642517888026,120.35113285147115
2016-12-01,2016-12,139,0.0,0.0,198,3.0,0.015151515151515152,0.0,0.0,0.0,279.0,17.0,0.06093189964157706,616.0,0.22564935064935066,0.32142857142857145,0.0,0.45292207792207795,,1.78283499090331,,2.3063356629983156,2.0445853269508127,1.6176444450899115,174.94546679756235,146.28718243975973,174.94546679756235
2017-01-01,2017-1,212,0.0,0.0,170,2.0,0.011764705882352941,0.0,0.0,0.0,224.0,15.0,0.06696428571428571,606.0,0.34983498349834985,0.28052805280528054,0.0,0.3696369636963696,,1.3843189341131583,,2.534667738878138,1.9594933364956482,1.3252471820263034,143.3232052849904,140.19897111994115,143.3232052849904
2017-02-01,2017-2,178,0.0,0.0,180,1.0,0.005555555555555556,0.0,0.0,0.0,293.0,7.0,0.023890784982935155,651.0,0.27342549923195086,0.2764976958525346,0.0,0.4500768049155146,,0.6537061633312137,,0.9042910158272858,0.7789985895792497,0.587748659043031,63.56400742328098,55.736245042922945,63.56400742328098
2017-03-01,2017-3,211,0.0,0.0,190,0.0,0.0,0.0,0.0,0.0,312.0,16.0,0.05128205128205128,713.0,0.2959326788218794,0.2664796633941094,0.0,0.4375876577840112,,0.0,,1.9410788837904374,0.9705394418952187,0.8493921623318603,91.86030266686872,69.44072156345082,91.86030266686872
2017-04-01,2017-4,213,0.0,0.0,185,1.0,0.005405405405405406,0.0,0.0,0.0,282.0,15.0,0.05319148936170213,680.0,0.31323529411764706,0.27205882352941174,0.0,0.4147058823529412,,0.6360384291871268,,2.0133530975485923,1.3246957633678595,1.007989239571061,109.01230401955092,94.7801044341706,109.01230401955092
