code,title,keywords
01.1.4.6,Yoghurt and similar products (ND),"yoghurt; buttermilk and other fermented dairy products; curdled milk and cream; kefir and other fermented or acidified milk and cream, whether or not they are concentrated, contain added sugar or other sweetening matter, are flavoured or contain added fruits, nuts or cocoa; yoghurt from non-animal milk (e.g., coconut yoghurt and soy yoghurt)"
01.1.4.7,Milk-based dessert and beverages (ND),"milk-based desserts containing milk of animal and non-animal origin; milk-based beverages containing milk of animal or non-animal origin, flavoured with cocoa, coffee or other substances; milk-based puddings containing milk of animal or non-animal origin, panna cotta, crème brûlée and crema catalana"
01.1.4.8,Eggs (ND),"eggs of hens and other birds in shell, fresh; eggs of other animals, including turtle eggs, in shell, fresh; eggs whether in shell or not, preserved or cooked; egg yolks, fresh or preserved; egg albumen"
01.1.4.9,Other dairy products (ND),"whey and casein; cream, concentrated or containing added sugar or other sweeteners; and cream powder; other products consisting of milk constituents, milk protein concentrates, and products obtained from whey"
01.1.5.1,Vegetable oils (ND),"All oils of vegetable origin, including oils extracted from fruits, nuts and other crops.; sunflower seed and safflower oil; palm and olive oil; soya bean oil; groundnut oil; rapeseed, colza and mustard oil; corn oil; cotton oil; other oils of vegetable origin; coconut oil; avocado oil; rice bran oil"
01.1.5.2,Butter and other oils and fats derived from milk (ND),butter; butter oil; ghee
01.1.5.3,Margarine and similar preparations (ND),margarine; diet margarine
01.1.5.9,Other animal oils and fats (ND),"pig fat and lard, including leaves or other spices; fat from cattle, buffaloes, sheep, goats and poultry; greaves fat; oils and fats of fish"
01.1.6.1,"Dates, figs and tropical fruits, fresh (ND)","dates; figs; avocados; sweet/dessert bananas; mangoes, guavas and mangosteens; papayas; pineapples; coconuts; breadfruits; other tropical and subtropical fruits, fresh"
01.1.6.2,"Citrus fruits, fresh (ND)","oranges; pomelos and grapefruits; lemons and limes; tangerines; mandarins and clementines; other citrus fruits, fresh"
01.1.6.3,"Stone fruits and pome fruits, fresh (ND)","apples; pears and quinces; apricots; cherries and sour cherries; peaches and nectarines; plums and sloes; other pome fruits and stone fruits, fresh"
01.1.6.4,"Berries, fresh (ND)","currants and gooseberries; raspberries; blackberries; mulberries and loganberries; strawberries; other berries, fresh"
01.1.6.5,"Other fruits, fresh (ND)","grapes; kiwi fruits; cantaloupes and other melons; watermelons; pomegranates; other fruits or mixtures of fruit, fresh, n.e.c."
01.1.6.6,"Fruits, frozen (ND)","Fruits cooked or uncooked, frozen, whether or not they contain added sugar or other sweetening matter."
01.1.6.7,"Fruits, dried and dehydrated (ND)",raisins; prunes; dried apricots; dried coconuts; other dried fruits
01.1.6.8,"Nuts, in shell or shelled (ND)",almonds; cashew nuts; chestnuts; hazelnuts; pistachios; walnuts; brazil nuts; groundnuts; other nuts in shell or shelled
01.1.6.9,"Fruits and nuts, ground, and in other preparations (ND)","Fruit and nut preparations, whether frozen or not.; fruit flour and nut flour; nuts, groundnuts and other seeds, roasted, salted or otherwise prepared; canned fruit; homogenized fruit preparations; fruit pickles"
01.1.7.1,"Leafy or stem vegetables, fresh or chilled (ND)","asparagus; cabbages; cauliflower and broccoli; lettuce and chicory; spinach; artichokes; other leafy or stem vegetables, fresh or chilled"
01.1.7.2,"Fruit-bearing vegetables, fresh or chilled (ND)","chilies and peppers; cucumbers and gherkins; eggplants (aubergines); tomatoes; pumpkins; squash and gourds; other fruit-bearing vegetables, fresh or chilled"
01.1.7.3,"Green leguminous vegetables, fresh or chilled (ND)","beans; peas; broad beans and horsebeans, also known as fava beans; soya beans; other green leguminous vegetables, fresh or chilled"
01.1.7.4,"Other vegetables, fresh or chilled (ND)","carrots and turnips; garlic; onions; leeks and other alliaceous vegetables; other root, bulb and tuberous vegetables, fresh or chilled; mushrooms and truffles; seaweeds and other aquatic plants; olives; other vegetables, fresh or chilled, n.e.c.; mixtures of vegetables, fresh or chilled"
01.1.7.5,"Tubers, plantains and cooking bananas, fresh or chilled (ND)","all types of potatoes, including sweet potatoes ; cassava, manioc and yucca; yams; taro; yautia (also known as malanga, new cocoyam, ocumo and tannia); plantains and cooking bananas; arrowroots, lotus roots, Jerusalem artichokes (topinambur) and tacca"
01.1.7.6,Pulses (ND),"Dried leguminous vegetables, shelled or unshelled, whether broken or not, but not further prepared.; common beans and other beans; broad beans and horsebeans, also known as fava beans ; chickpeas; lentils; peas; cowpeas; pigeon peas; bambara beans; mixtures of pulses"
01.1.7.7,"Other vegetables, tubers, plantains and cooking bananas, dried and dehydrated (ND)","Vegetables, other than leguminous; tubers; plantains; and cooking bananas, dried and dehydrated.; dried soybeans; dried potatoes; dehydrated garlic and onions"
01.1.7.8,"Vegetables, tubers, plantains and cooking bananas, frozen (ND)","vegetables listed in subclasses 01.1.7.1 to 01.1.7.4, frozen; frozen tubers; frozen plantains and cooking bananas"
01.1.7.9,"Vegetables, tubers, plantains, cooking bananas and pulses, ground, and in other preparations (ND)","Preparations of vegetables, tubers, salep, plantains, cooking bananas and pulses, whether frozen or not.; flours of vegetables, pulses, tubers, plantains and cooking bananas; canned vegetables; preserved olives, vegetable flakes, vegetable purées and vegetable chips and crisps; chipped potatoes, frozen; vegetable concentrates; homogenized preparations; vegetable pickles; soy meat and soy burgers, veggie burgers, tofu, tempeh and other meat substitutes made from vegetables and nuts; kocho (a flatbread made from the starch obtained from the fermentation of the green leaf sheaths green leaf sheaths of the enset plant); potato starch, tapioca, sago and other starches"
01.1.8.1,Cane sugar and beet sugar (ND),"cane and beet sugar, raw and refined, powdered, crystallized or in lumps"
01.1.8.2,Other sugars and sugar substitutes (ND),"sugars other than cane and beet sugar (e.g., coconut sugar); stevia; glucose and glucose syrup, and fructose and fructose syrup; lactose and lactose syrup; invert sugar; artificial honey, saccharin and other artificial sweeteners; refined cane and beet sugar, in solid form, containing added flavouring or colouring matter; maple sugar and maple syrup, caramel, molasses, and sugars and sugar syrups n.e.c."
01.1.8.3,"Jams, marmalades, fruit jellies, purées and pastes, and honey (ND)","jams, marmalades, compotes, fruit jellies, purées and pastes; honey; lemon curd and other fruit curd"
01.1.8.4,"Nut purées, nut butters and nut pastes (ND)","peanut butter; other nut butters, such as almond butter, cashew butter, hazelnut butter, macadamia nut butter, pecan butter, pistachio butter and walnut butter"
01.1.8.5,"Chocolate, cocoa and cocoa-based food products (ND)","cocoa (including cocoa beans) and cocoa powder for all purposes; chocolate in bars or slabs; chocolate- and cocoa-based foods and cocoa-based desserts; chocolate- and cocoa-based creams and spreads; chocolate-covered food products, if the product is composed mainly of chocolate"
01.1.8.6,"Ice, ice cream and sorbets (ND)",ice cubes for drinks; ice cream and kulfi; sorbet; frozen yoghurt; ice pop; tofu ice cream
01.1.8.9,Other sugar confectionery and desserts n.e.c. (ND),"vegetables, fruit, nuts, fruit peels and other parts of plants, preserved with sugar; chewing gum, toffees, lollies, candies, pastilles; white chocolate; other confectionery products; desserts n.e.c."
01.1.9.1,Ready-made food (ND),"Prepared food and meals that either can be eaten as is or after heating but that do not require cooking, or are assembled and portioned in such a way that they can be cooked. They may contain mixed ingredients and can be fresh, frozen, or dehydrated or instant. They can include sauces and dressings which, especially when the food is fresh, may be provided in separate containers. Sometimes, disposable forks, knives, spoons or chopsticks are packed together with the food.; precooked dishes containing stuffed pasta, rice or other cereals, such as couscous, including vegetables, meat, fish, cheese or other ingredients; and ready-to- eat dumplings, ravioli, noodles and similar dishes, including sauce; ready-made dishes and meals based on precooked meat, meat substitutes or fish; TV dinners; mixed salads and other prepared dishes and meals based on vegetables, pulses or potatoes and also including other ingredients, such as meat, fish and cheese; sandwiches, pizzas, quiches, meat or fish pies, whether frozen or not; omelettes, crepes and other food products based on eggs when precooked and served as a main dish; ready-made soups including dehydrated and instant soups and stews;; other prepared ready-made dishes and meals, n.e.c.; meal-kits"
01.1.9.2,Baby food (ND),"Food and beverages intended for baby use exclusively.; baby formula (powdered, condensed and evaporated milk for baby use); baby rice cereals and flours for baby food; homogenized baby food"
01.1.9.3,"Salt, condiments and sauces (ND)","salt, sauces, condiments, and seasonings (including mustard, mayonnaise, ketchup, and soy sauce) and vinegar; coconut milk for cooking"
01.1.9.4,"Spices, culinary herbs and seeds (ND)","pepper, pimento, ginger and other spices; parsley, rosemary, thyme and other culinary herbs; poppy seed, sesame seed, linseed and other seeds"
01.1.9.9,Other food products n.e.c. (ND),"sugarcane consumed for the purpose of extracting juice or as a snack; prepared baking powders and yeasts, broth, stocks, bouillon cubes, soup bases, agar-agar and instant dessert preparations; other ready-made food and other food products"
01.2.1.0,Fruit and vegetable juices (ND),"fruit and vegetable juices, unfermented and not containing added alcohol, whether or not they contain added sugar or other sweetening matter; syrups of fruit and vegetables and concentrates of fruit and vegetables; powdered juices"
01.2.2.0,Coffee and coffee substitutes (ND),"coffee, whether or not decaffeinated, roasted or ground, including instant coffee; coffee substitutes; extracts, essences and concentrates of coffee; coffee-based beverage preparations; roasted chicory and other roasted coffee substitutes and extracts, essences and concentrates thereof"
01.2.3.0,"Tea, maté and other plant-derived products for infusion (ND)","green tea, unfermented; black tea, fermented; and tea, maté and other plant products, partly fermented, for infusion; tea substitutes and tea extracts and essences; fruit and herbal teas; rooibos tea; instant tea; iced tea"
01.2.4.0,Cocoa drinks (ND),cocoa and chocolate-based drinks
01.2.5.0,Water (ND),"Mineral and spring waters, still or sparkling, without added ingredients."
01.2.6.0,Soft drinks (ND),"soft drinks, such as sodas, lemonades and colas; sparkling juices"
