date,ym,lao_pasaxon_body_count,lao_pasaxon_epu_count,lao_pasaxon_ratio,lao_kosmo_body_count,lao_kosmo_epu_count,lao_kosmo_ratio,lao_kpl_body_count,lao_kpl_epu_count,lao_kpl_ratio,lao_the_tian_times_body_count,lao_the_tian_times_epu_count,lao_the_tian_times_ratio,news_total,lao_pasaxon_weights,lao_kosmo_weights,lao_kpl_weights,lao_the_tian_times_weights,lao_pasaxon_z_score,lao_kosmo_z_score,lao_kpl_z_score,lao_the_tian_times_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
2015-01-01,2015-1,0.0,0.0,0.0,0.0,0.0,0.0,103,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-01,2015-2,0.0,0.0,0.0,0.0,0.0,0.0,92,2.0,0.021739130434782608,0.0,0.0,0.0,92.0,0.0,0.0,1.0,0.0,,,1.4128987598490124,0.0,0.7064493799245062,1.4128987598490124,210.63689096359695,113.04831645187822
2015-03-01,2015-3,0.0,0.0,0.0,0.0,0.0,0.0,157,1.0,0.006369426751592357,0.0,0.0,0.0,157.0,0.0,0.0,1.0,0.0,,,0.4139703372806024,0.0,0.2069851686403012,0.4139703372806024,61.71526741608574,33.12243666742929
2015-04-01,2015-4,0.0,0.0,0.0,0.0,0.0,0.0,122,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-01,2015-5,0.0,0.0,0.0,0.0,0.0,0.0,159,2.0,0.012578616352201259,0.0,0.0,0.0,159.0,0.0,0.0,1.0,0.0,,,0.8175263264535166,0.0,0.4087631632267583,0.8175263264535166,121.87794948837058,65.41160448787923
2015-06-01,2015-6,0.0,0.0,0.0,0.0,0.0,0.0,157,0.0,0.0,0.0,0.0,0.0,157.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-01,2015-7,0.0,0.0,0.0,0.0,0.0,0.0,236,3.0,0.012711864406779662,0.0,0.0,0.0,236.0,0.0,0.0,1.0,0.0,,,0.8261865629625581,0.0,0.41309328148127905,0.8261865629625581,123.16902946176432,66.10452402694574
2015-08-01,2015-8,0.0,0.0,0.0,0.0,0.0,0.0,177,1.0,0.005649717514124294,0.0,0.0,0.0,177.0,0.0,0.0,1.0,0.0,,,0.36719402798335915,0.0,0.18359701399167958,0.36719402798335915,54.741790871895255,29.37978845642033
2015-09-01,2015-9,0.0,0.0,0.0,0.0,0.0,0.0,211,1.0,0.004739336492890996,0.0,0.0,0.0,211.0,0.0,0.0,1.0,0.0,,,0.30802532205239136,0.0,0.15401266102619568,0.30802532205239136,45.92083878827233,24.645604534532694
2015-10-01,2015-10,0.0,0.0,0.0,0.0,0.0,0.0,203,0.0,0.0,0.0,0.0,0.0,203.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
