date,ym,thailand_matichon_body_count,thailand_matichon_epu_count,thailand_matichon_ratio,thailand_nation_body_count,thailand_nation_epu_count,thailand_nation_ratio,news_total,thailand_matichon_weights,thailand_nation_weights,thailand_matichon_z_score,thailand_nation_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
2020-05-01,2020-5,1329,0.0,0.0,0.0,0.0,0.0,1329.0,1.0,0.0,,,,0,,
2020-06-01,2020-6,1215,0.0,0.0,0.0,0.0,0.0,1215.0,1.0,0.0,,,,0,,
2020-07-01,2020-7,1255,0.0,0.0,0.0,0.0,0.0,1255.0,1.0,0.0,,,,0,,
2020-08-01,2020-8,1103,0.0,0.0,0.0,0.0,0.0,1103.0,1.0,0.0,,,,0,,
2020-09-01,2020-9,1039,0.0,0.0,0.0,0.0,0.0,1039.0,1.0,0.0,,,,0,,
2020-10-01,2020-10,1087,0.0,0.0,0.0,0.0,0.0,1087.0,1.0,0.0,,,,0,,
2020-11-01,2020-11,872,0.0,0.0,0.0,0.0,0.0,872.0,1.0,0.0,,,,0,,
2020-12-01,2020-12,1080,0.0,0.0,0.0,0.0,0.0,1080.0,1.0,0.0,,,,0,,
2021-01-01,2021-1,1237,0.0,0.0,0.0,0.0,0.0,1237.0,1.0,0.0,,,,0,,
2021-02-01,2021-2,973,0.0,0.0,0.0,0.0,0.0,973.0,1.0,0.0,,,,0,,
2021-03-01,2021-3,1088,2.0,0.001838235294117647,0.0,0.0,0.0,1088.0,1.0,0.0,,,,0,,
2021-04-01,2021-4,1284,0.0,0.0,0.0,0.0,0.0,1284.0,1.0,0.0,,,,0,,
2021-05-01,2021-5,1546,0.0,0.0,0.0,0.0,0.0,1546.0,1.0,0.0,,,,0,,
2021-06-01,2021-6,1354,0.0,0.0,0.0,0.0,0.0,1354.0,1.0,0.0,,,,0,,
2021-07-01,2021-7,1294,0.0,0.0,0.0,0.0,0.0,1294.0,1.0,0.0,,,,0,,
2021-08-01,2021-8,1474,0.0,0.0,0.0,0.0,0.0,1474.0,1.0,0.0,,,,0,,
