date,ym,EPU_imf_index,EPU_world_bank_index,EPU_central_bank_index,EPU_finance_ministry_index,EPU_government_index,EPU_parliament_index,EPU_multilateral_development_bank_index,EPU_credit_rating_agency_index,EPU_international_investors_index,EPU_commercial_banks_index,EPU_state_owned_enterprises_index,EPU_labor_unions_index,EPU_international_organizations_index,EPU_courts_judiciary_index,EPU_military_security_index,EPU_us_government_index,EPU_china_government_index
2015-01-01,2015-1,,710.2756898138146,0.0,0.0,126.3675297226384,253.3873290743408,0.0,0.0,773.702172618971,0.0,0.0,0.0,162.54364500643922,189.32424217780823,0.0,0.0,0.0
2015-02-01,2015-2,,0.0,0.0,0.0,171.78086071671157,382.7204449560357,0.0,0.0,0.0,0.0,0.0,0.0,220.9577674306283,171.57509447363876,623.7150111884108,1526.0545986722248,0.0
2015-03-01,2015-3,,598.7789245523437,0.0,0.0,32.08156640524678,71.20380371275081,0.0,0.0,652.2489245915743,0.0,0.0,0.0,37.56638802296493,159.60473904524534,145.050002601956,1419.585673183465,0.0
2015-04-01,2015-4,,798.3718994031249,0.0,0.0,78.28567731897743,0.0,942.582509452979,0.0,0.0,0.0,0.0,0.0,0.0,212.80631872699377,16.227559080054295,0.0,123.7688784054276
2015-05-01,2015-5,,0.0,0.0,2241.872776899822,191.32945310304012,162.2126389217634,0.0,0.0,0.0,0.0,0.0,0.0,163.62418372759456,545.4042738234873,27.726557898370913,0.0,211.4726531695385
2015-06-01,2015-6,,0.0,0.0,0.0,99.37812651724008,171.28747186843552,0.0,0.0,0.0,0.0,0.0,0.0,86.3889921079258,0.0,0.0,0.0,0.0
2015-07-01,2015-7,,1279.3785717143246,824.3201809386964,0.0,256.0708482733589,380.34329933519064,0.0,5342.867761971289,696.8125157127378,2162.317325286803,0.0,0.0,329.37803840590556,511.5282319710968,929.761507361606,0.0,0.0
2015-08-01,2015-8,,0.0,0.0,0.0,60.273986216390036,80.57272525390223,0.0,0.0,0.0,0.0,0.0,0.0,77.52904120372924,0.0,0.0,0.0,0.0
2015-09-01,2015-9,,0.0,0.0,0.0,170.92622956886726,0.0,0.0,0.0,837.2150375354537,0.0,1371.3556666853242,0.0,175.88678004428127,0.0,372.36717085875273,0.0,0.0
2015-10-01,2015-10,,0.0,0.0,0.0,25.880355663534704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.289305827589956,0.0,0.0,0.0,0.0
2015-11-01,2015-11,,0.0,0.0,0.0,127.24508201237894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.67242031898394,254.18532514613145,0.0,0.0,0.0
2015-12-01,2015-12,,0.0,0.0,0.0,103.32683351381148,0.0,914.2341633040172,0.0,0.0,0.0,0.0,0.0,88.60461851854771,0.0,0.0,0.0,0.0
2016-01-01,2016-1,,0.0,0.0,0.0,159.33297225897886,106.49612381385336,0.0,0.0,975.537521997833,0.0,0.0,0.0,204.946335008119,0.0,0.0,0.0,0.0
2016-02-01,2016-2,,0.0,0.0,0.0,141.29244394293963,184.16622915177652,0.0,0.0,0.0,0.0,0.0,0.0,181.48902356691903,619.2183860702751,203.32297420198068,0.0,0.0
2016-03-01,2016-3,,0.0,5728.728739473242,2435.4157504451305,230.68892566273016,264.3249116243124,0.0,0.0,0.0,2504.554599792628,0.0,0.0,211.94989681595044,0.0,0.0,0.0,0.0
2016-04-01,2016-4,,0.0,0.0,2064.1633494626412,114.58472588055469,149.35431998284315,0.0,0.0,0.0,0.0,0.0,0.0,111.25507928607811,334.7806721436853,164.8899729808746,0.0,0.0
2016-05-01,2016-5,,0.0,0.0,0.0,195.5380535943083,209.9577533600562,617.2240797940826,0.0,0.0,0.0,0.0,1495.5740810668665,250.83504307478964,595.429054129104,274.5376199884612,0.0,0.0
2016-06-01,2016-6,,0.0,0.0,0.0,58.35443251523112,78.00671489549771,0.0,0.0,0.0,0.0,0.0,0.0,75.05996345838756,0.0,158.9082831053276,0.0,0.0
