date,ym,philippines_abc_au_solomon_islands_body_count,philippines_abc_au_solomon_islands_epu_count,philippines_abc_au_solomon_islands_ratio,philippines_asia_news_network_body_count,philippines_asia_news_network_epu_count,philippines_asia_news_network_ratio,philippines_philippine_star_body_count,philippines_philippine_star_epu_count,philippines_philippine_star_ratio,philippines_abante_body_count,philippines_abante_epu_count,philippines_abante_ratio,philippines_inquirer_body_count,philippines_inquirer_epu_count,philippines_inquirer_ratio,news_total,philippines_abc_au_solomon_islands_weights,philippines_asia_news_network_weights,philippines_philippine_star_weights,philippines_abante_weights,philippines_inquirer_weights,philippines_abc_au_solomon_islands_z_score,philippines_asia_news_network_z_score,philippines_philippine_star_z_score,philippines_abante_z_score,philippines_inquirer_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
2015-01-01,2015-1,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136,5.0,0.03676470588235294,145.0,0.06206896551724138,0.0,0.0,0.0,0.9379310344827586,0.0,,,0.0,2.508622420746195,0.836207473582065,2.352914822217121,144.69259458320232,112.14490117418784
2015-02-01,2015-2,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153,6.0,0.0392156862745098,160.0,0.04375,0.0,0.0,0.0,0.95625,0.0,,,0.0,2.675863915462608,0.891954638487536,2.558794869161119,157.35319660923253,119.62122791913369
2015-03-01,2015-3,15.0,1.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157,1.0,0.006369426751592357,172.0,0.0872093023255814,0.0,0.0,0.0,0.9127906976744186,0.5172170252620608,,,0.0,0.4346148397725892,0.31727728834488333,0.44181851873969424,27.16964813503753,42.55048091573811
2015-04-01,2015-4,16.0,2.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,2.0,0.018018018018018018,127.0,0.12598425196850394,0.0,0.0,0.0,0.8740157480314961,0.9697819223663641,,,0.0,1.2294509881855225,0.7330776368506289,1.1967367751689355,73.59337762561347,98.31402102333972
2015-05-01,2015-5,27.0,3.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124,6.0,0.04838709677419355,151.0,0.17880794701986755,0.0,0.0,0.0,0.8211920529801324,0.862028375436768,,,0.0,3.3016707989175726,1.3878997247847804,2.8654433457123956,176.2105573934965,186.13308585838257
2015-06-01,2015-6,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136,3.0,0.022058823529411766,143.0,0.04895104895104895,0.0,0.0,0.0,0.951048951048951,0.0,,,0.0,1.505173452447717,0.501724484149239,1.4314936330971293,88.02976034082938,67.2869407045127
2015-07-01,2015-7,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148,12.0,0.08108108108108109,159.0,0.06918238993710692,0.0,0.0,0.0,0.9308176100628931,0.0,,,0.0,5.532529446834852,1.844176482278284,5.149775837305397,316.6856787104051,247.32497123820886
2015-08-01,2015-8,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145,2.0,0.013793103448275862,152.0,0.046052631578947366,0.0,0.0,0.0,0.9539473684210527,0.0,,,0.0,0.9411659288868482,0.3137219762956161,0.8978227611091645,55.21164793306404,42.07367326810909
2015-09-01,2015-9,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126,5.0,0.03968253968253968,133.0,0.05263157894736842,0.0,0.0,0.0,0.9473684210526315,0.0,,,0.0,2.707719438265734,0.902573146088578,2.5652078888833265,157.7475655230401,121.0452901562662
2015-10-01,2015-10,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154,1.0,0.006493506493506494,172.0,0.10465116279069768,0.0,0.0,0.0,0.8953488372093024,0.0,,,0.0,0.443081362625302,0.14769378754176735,0.3967123828156774,24.39584443553993,19.80741111647993
