date,ym,philippines_abc_au_solomon_islands_body_count,philippines_abc_au_solomon_islands_epu_count,philippines_abc_au_solomon_islands_ratio,philippines_asia_news_network_body_count,philippines_asia_news_network_epu_count,philippines_asia_news_network_ratio,philippines_philippine_star_body_count,philippines_philippine_star_epu_count,philippines_philippine_star_ratio,philippines_abante_body_count,philippines_abante_epu_count,philippines_abante_ratio,philippines_inquirer_body_count,philippines_inquirer_epu_count,philippines_inquirer_ratio,news_total,philippines_abc_au_solomon_islands_weights,philippines_asia_news_network_weights,philippines_philippine_star_weights,philippines_abante_weights,philippines_inquirer_weights,philippines_abc_au_solomon_islands_z_score,philippines_asia_news_network_z_score,philippines_philippine_star_z_score,philippines_abante_z_score,philippines_inquirer_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2015-01-01,2015-1,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136,3.0,0.022058823529411766,145.0,0.06206896551724138,0.0,0.0,0.0,0.9379310344827586,0.0,,,,2.0615349437743724,1.0307674718871862,1.9335776024366527,144.72168358079352,116.85237696080475,144.72168358079352
2015-02-01,2015-2,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153,3.0,0.0196078431372549,160.0,0.04375,0.0,0.0,0.0,0.95625,0.0,,,,1.8324755055772197,0.9162377527886099,1.7523047022082165,131.15402574509415,103.86877952071531,131.15402574509415
2015-03-01,2015-3,15.0,1.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157,1.0,0.006369426751592357,172.0,0.0872093023255814,0.0,0.0,0.0,0.9127906976744186,0.7155221250253934,,,,0.595262743849925,0.6553924344376592,0.6057504805803436,45.33835583789773,74.29819614500866,45.33835583789773
2015-04-01,2015-4,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,1.0,0.009009009009009009,127.0,0.12598425196850394,0.0,0.0,0.0,0.8740157480314961,0.0,,,,0.8419482052652091,0.42097410263260454,0.7358759904286473,55.07780608717864,47.72349329330163,55.07780608717864
2015-05-01,2015-5,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124,3.0,0.024193548387096774,151.0,0.17880794701986755,0.0,0.0,0.0,0.8211920529801324,0.0,,,,2.2610383254299564,1.1305191627149782,1.8567467043265866,138.97115310738448,128.16067150539874,138.97115310738448
2015-06-01,2015-6,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136,1.0,0.007352941176470588,143.0,0.04895104895104895,0.0,0.0,0.0,0.951048951048951,0.0,,,,0.6871783145914574,0.3435891572957287,0.6535402152757916,48.91525435714466,38.95079232026824,48.91525435714466
2015-07-01,2015-7,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148,10.0,0.06756756756756757,159.0,0.06918238993710692,0.0,0.0,0.0,0.9308176100628931,0.0,,,,6.314611539489069,3.1573057697445344,5.877751621662781,439.9296461051376,357.92619969976226,439.9296461051376
2015-08-01,2015-8,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145,1.0,0.006896551724137931,152.0,0.046052631578947366,0.0,0.0,0.0,0.9539473684210527,0.0,,,,0.6445258674788842,0.3222629337394421,0.6148437551607777,46.01895640178742,36.53315693487228,46.01895640178742
2015-09-01,2015-9,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126,2.0,0.015873015873015872,133.0,0.05263157894736842,0.0,0.0,0.0,0.9473684210526315,0.0,,,,1.4834325521339398,0.7417162760669699,1.405357154653206,105.18618606122837,84.0842500881981,105.18618606122837
2015-10-01,2015-10,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154,0.0,0.0,172.0,0.10465116279069768,0.0,0.0,0.0,0.8953488372093024,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
