date,ym,indonesia_detik_body_count,indonesia_detik_epu_count,indonesia_detik_ratio,indonesia_antara_body_count,indonesia_antara_epu_count,indonesia_antara_ratio,indonesia_abc_au_solomon_islands_body_count,indonesia_abc_au_solomon_islands_epu_count,indonesia_abc_au_solomon_islands_ratio,indonesia_tempo_body_count,indonesia_tempo_epu_count,indonesia_tempo_ratio,indonesia_jakarta_post_body_count,indonesia_jakarta_post_epu_count,indonesia_jakarta_post_ratio,indonesia_rnz_body_count,indonesia_rnz_epu_count,indonesia_rnz_ratio,news_total,indonesia_detik_weights,indonesia_antara_weights,indonesia_abc_au_solomon_islands_weights,indonesia_tempo_weights,indonesia_jakarta_post_weights,indonesia_rnz_weights,indonesia_detik_z_score,indonesia_antara_z_score,indonesia_abc_au_solomon_islands_z_score,indonesia_tempo_z_score,indonesia_jakarta_post_z_score,indonesia_rnz_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2015-01-01,2015-1,0.0,0.0,0.0,0.0,0.0,0.0,64,0.0,0.0,331.0,1.0,0.0030211480362537764,0.0,0.0,0.0,6.0,0.0,0.0,401.0,0.0,0.0,0.1596009975062344,0.8254364089775561,0.0,0.014962593516209476,,,0.0,0.19268152164187252,,0.0,0.06422717388062417,0.15904634330039852,18.750604372514392,12.72901881100539,18.750604372514392
2015-02-01,2015-2,0.0,0.0,0.0,0.0,0.0,0.0,59,1.0,0.01694915254237288,311.0,2.0,0.006430868167202572,0.0,0.0,0.0,11.0,0.0,0.0,381.0,0.0,0.0,0.15485564304461943,0.8162729658792651,0.0,0.028871391076115485,,,0.26245388207310616,0.41014523256244245,,0.0,0.22419970487851618,0.3754329301029734,44.261277528894084,44.433564306048766,44.261277528894084
2015-03-01,2015-3,0.0,0.0,0.0,0.0,0.0,0.0,68,1.0,0.014705882352941176,460.0,3.0,0.006521739130434782,0.0,0.0,0.0,14.0,0.0,0.0,542.0,0.0,0.0,0.12546125461254612,0.8487084870848709,0.0,0.025830258302583026,,,0.22771733885754797,0.4159407630225639,,0.0,0.21455270062670395,0.38158215873190526,44.98623448687623,42.52164928360977,44.98623448687623
2015-04-01,2015-4,0.0,0.0,0.0,0.0,0.0,0.0,56,0.0,0.0,406.0,3.0,0.007389162561576354,0.0,0.0,0.0,17.0,0.0,0.0,479.0,0.0,0.0,0.11691022964509394,0.8475991649269311,0.0,0.03549060542797495,,,0.0,0.47126293347384085,,0.0,0.1570876444912803,0.3994420688734434,47.09181014641923,31.132797239725008,47.09181014641923
2015-05-01,2015-5,0.0,0.0,0.0,0.0,0.0,0.0,57,1.0,0.017543859649122806,407.0,3.0,0.007371007371007371,0.0,0.0,0.0,20.0,0.0,0.0,484.0,0.0,0.0,0.11776859504132231,0.8409090909090909,0.0,0.04132231404958678,,,0.27166279021602213,0.4701050392884015,,0.0,0.24725594316814123,0.4273089463485386,50.37714688406388,49.00302101988679,50.37714688406388
2015-06-01,2015-6,0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,428.0,3.0,0.007009345794392523,0.0,0.0,0.0,20.0,0.0,0.0,488.0,0.0,0.0,0.08196721311475409,0.8770491803278688,0.0,0.040983606557377046,,,0.0,0.44703913782798926,,0.0,0.1490130459426631,0.39207530940651514,46.223313647817236,29.53251326945877,46.223313647817236
2015-07-01,2015-7,0.0,0.0,0.0,0.0,0.0,0.0,34,1.0,0.029411764705882353,470.0,7.0,0.014893617021276596,0.0,0.0,0.0,13.0,0.0,0.0,517.0,0.0,0.0,0.06576402321083172,0.9090909090909091,0.0,0.025145067698259187,,,0.45543467771509594,0.9498789056259971,,0.0,0.4684378611136977,0.8934774945580887,105.33560639342359,92.83849787608686,105.33560639342359
2015-08-01,2015-8,0.0,0.0,0.0,0.0,0.0,0.0,28,1.0,0.03571428571428571,489.0,23.0,0.04703476482617587,0.0,0.0,0.0,17.0,0.0,0.0,534.0,0.0,0.0,0.052434456928838954,0.9157303370786517,0.0,0.031835205992509365,,,0.5530278229397593,2.999763648792588,,0.0,1.1842638239107823,2.775972290827507,327.27038606639013,234.7062089291329,327.27038606639013
2015-09-01,2015-9,0.0,0.0,0.0,0.0,0.0,0.0,33,0.0,0.0,437.0,14.0,0.032036613272311214,0.0,0.0,0.0,12.0,0.0,0.0,482.0,0.0,0.0,0.06846473029045644,0.9066390041493776,0.0,0.024896265560165973,,,0.0,2.043217783268735,,0.0,0.6810725944229117,1.8524609362830649,218.39396877032323,134.9800301377551,218.39396877032323
2015-10-01,2015-10,0.0,0.0,0.0,0.0,0.0,0.0,36,1.0,0.027777777777777776,254.0,7.0,0.027559055118110236,0.0,0.0,0.0,10.0,0.0,0.0,300.0,0.0,0.0,0.12,0.8466666666666667,0.0,0.03333333333333333,,,0.43013275117536837,1.7576499434811756,,0.0,0.7292608982188481,1.5397595489551061,181.52836168466666,144.5303464357911,181.52836168466666
