date,ym,singapore_zaobao_body_count,singapore_zaobao_epu_count,singapore_zaobao_ratio,singapore_today_body_count,singapore_today_epu_count,singapore_today_ratio,singapore_the_independent_body_count,singapore_the_independent_epu_count,singapore_the_independent_ratio,singapore_the_straits_times_body_count,singapore_the_straits_times_epu_count,singapore_the_straits_times_ratio,news_total,singapore_zaobao_weights,singapore_today_weights,singapore_the_independent_weights,singapore_the_straits_times_weights,singapore_zaobao_z_score,singapore_today_z_score,singapore_the_independent_z_score,singapore_the_straits_times_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2024-07-01,2024-7,0.0,0.0,0.0,125.0,4.0,0.032,70,2.0,0.02857142857142857,0.0,0.0,0.0,195.0,0.0,0.6410256410256411,0.358974358974359,0.0,,,,,,0,,,
2024-08-01,2024-8,0.0,0.0,0.0,107.0,3.0,0.028037383177570093,41,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.722972972972973,0.27702702702702703,0.0,,,,,,0,,,
2024-09-01,2024-9,0.0,0.0,0.0,60.0,2.0,0.03333333333333333,35,1.0,0.02857142857142857,342.0,11.0,0.03216374269005848,437.0,0.0,0.13729977116704806,0.08009153318077804,0.782608695652174,,,,,,0,,,
2024-10-01,2024-10,0.0,0.0,0.0,0.0,0.0,0.0,37,2.0,0.05405405405405406,673.0,27.0,0.04011887072808321,710.0,0.0,0.0,0.05211267605633803,0.9478873239436619,,,,,,0,,,
2024-11-01,2024-11,26.0,0.0,0.0,0.0,0.0,0.0,26,1.0,0.038461538461538464,658.0,25.0,0.037993920972644375,710.0,0.036619718309859155,0.0,0.036619718309859155,0.9267605633802817,,,,,,0,,,
2024-12-01,2024-12,654.0,0.0,0.0,0.0,0.0,0.0,37,2.0,0.05405405405405406,562.0,28.0,0.0498220640569395,1253.0,0.5219473264166001,0.0,0.029529130087789304,0.4485235434956105,,,,,,0,,,
2025-01-01,2025-1,692.0,0.0,0.0,0.0,0.0,0.0,34,1.0,0.029411764705882353,644.0,21.0,0.03260869565217391,1370.0,0.5051094890510949,0.0,0.024817518248175182,0.47007299270072994,,,,,,0,,,
2025-02-01,2025-2,708.0,0.0,0.0,0.0,0.0,0.0,80,3.0,0.0375,671.0,38.0,0.05663189269746647,1459.0,0.4852638793694311,0.0,0.05483207676490747,0.4599040438656614,,,,,,0,,,
2025-03-01,2025-3,796.0,0.0,0.0,0.0,0.0,0.0,152,4.0,0.02631578947368421,784.0,47.0,0.05994897959183673,1732.0,0.45958429561200925,0.0,0.08775981524249422,0.45265588914549654,,,,,,0,,,
2025-04-01,2025-4,962.0,0.0,0.0,0.0,0.0,0.0,304,28.0,0.09210526315789473,942.0,81.0,0.08598726114649681,2208.0,0.43568840579710144,0.0,0.13768115942028986,0.4266304347826087,,,,,,0,,,
2025-05-01,2025-5,873.0,0.0,0.0,0.0,0.0,0.0,104,2.0,0.019230769230769232,731.0,46.0,0.06292749658002736,1708.0,0.5111241217798594,0.0,0.06088992974238876,0.42798594847775173,,,,,,0,,,
2025-06-01,2025-6,693.0,0.0,0.0,0.0,0.0,0.0,56,5.0,0.08928571428571429,616.0,33.0,0.05357142857142857,1365.0,0.5076923076923077,0.0,0.041025641025641026,0.4512820512820513,,,,,,0,,,
2025-07-01,2025-7,739.0,0.0,0.0,0.0,0.0,0.0,80,7.0,0.0875,763.0,33.0,0.04325032765399738,1582.0,0.4671302149178255,0.0,0.05056890012642225,0.4823008849557522,,,,,,0,,,
2025-08-01,2025-8,781.0,0.0,0.0,0.0,0.0,0.0,94,1.0,0.010638297872340425,728.0,66.0,0.09065934065934066,1603.0,0.487211478477854,0.0,0.058640049906425455,0.45414847161572053,,,,,,0,,,
2025-09-01,2025-9,731.0,0.0,0.0,0.0,0.0,0.0,109,3.0,0.027522935779816515,745.0,42.0,0.056375838926174496,1585.0,0.461198738170347,0.0,0.06876971608832808,0.47003154574132494,,,,,,0,,,
2025-10-01,2025-10,737.0,0.0,0.0,0.0,0.0,0.0,79,0.0,0.0,707.0,33.0,0.04667609618104668,1523.0,0.48391332895600786,0.0,0.051871306631648066,0.46421536441234407,,,,,,0,,,
2025-11-01,2025-11,727.0,0.0,0.0,0.0,0.0,0.0,40,1.0,0.025,662.0,35.0,0.052870090634441085,1429.0,0.5087473757872638,0.0,0.02799160251924423,0.4632610216934919,,,,,,0,,,
2025-12-01,2025-12,589.0,0.0,0.0,0.0,0.0,0.0,26,0.0,0.0,562.0,27.0,0.04804270462633452,1177.0,0.5004248088360238,0.0,0.022090059473237042,0.47748513169073914,,,,,,0,,,
