date,ym,news_total,EPU_index,E_breadth,E_intensity,P_breadth,P_intensity,U_breadth,U_intensity,EU_index,PU_index,EP_index
2015-12-01,2015-12,420,45.985077839452565,43.83989518430947,143.69388796377794,62.442774909382116,139.45110920344297,36.3199361223598,66.04778746709653,37.41791354692128,29.853834672118957,53.59603485665323
2016-01-01,2016-1,572,50.647900417578875,78.37597558034042,99.71860328520798,79.38137964682957,96.40177831901204,48.00327221766436,117.41828883039382,41.21203764783287,36.53441306028544,86.57821015305522
2016-02-01,2016-2,998,19.352437567705483,72.99646222637918,88.08215716663061,73.73674972100638,105.2886075949504,45.854829172518386,79.25734496051582,31.494035450314495,41.879126794555646,76.68851480491064
2016-03-01,2016-3,1182,73.52943918491145,67.72881621941431,72.55715515228465,81.79677082985202,109.16464571233843,56.784468658308725,84.0608204126683,86.42208458806691,63.64776935172569,71.41603629376382
2016-04-01,2016-4,1148,42.05952241413343,66.24798582994802,95.96978361283172,82.17350975515703,81.78692928033576,79.7266890490825,105.67645994735445,34.223701414867016,91.01778863450902,64.7074079366911
2016-05-01,2016-5,1258,38.38182172609315,64.27346214551764,94.02980036323241,66.58705608114354,77.7478784423469,58.20428555061794,85.31172547833302,37.477401485787595,53.15786141935331,61.733429656033806
2016-06-01,2016-6,1164,74.66649236818328,70.83945411897608,104.74372014054208,62.88474561961932,115.91146701534907,41.93642108973503,74.3037609004836,67.50654505887859,50.2693436059735,69.61959166946708
2016-07-01,2016-7,1244,62.10203438125426,81.08511299991811,104.3163620156673,64.8191784465103,85.84053096011766,63.76426084504326,68.58808698506178,75.79834577029068,60.47561364448535,71.47574101863965
2016-08-01,2016-8,1082,26.775045322416926,67.32945406832387,99.77078465793703,66.20343310529299,89.43343773207933,62.03257112210805,90.06516472785889,50.8357975175363,50.21624686068068,59.2924710937282
2016-09-01,2016-9,1086,71.13713698920839,71.50441707938054,90.46636174328145,81.09785642143714,79.52075580448283,64.6133670243086,120.60900320078495,65.11957329989062,73.12265214349578,64.25601969002072
2016-10-01,2016-10,1050,82.77314011101461,95.30411996589014,105.4547972265666,73.81295183318005,75.58525535791433,58.1118977957757,95.76929182728995,89.80299251261106,59.707669344237914,79.32213158784677
2016-11-01,2016-11,1008,67.06157184920164,62.741878977544346,83.66985881435173,74.55853720523237,90.4667622939981,66.58654955765964,93.06733688545421,85.74938521169459,58.04912297356463,44.663362380544356
2016-12-01,2016-12,1110,17.399759182495565,76.44935893480051,93.8949651778059,69.11777908485055,89.79357707395141,30.23389277212654,156.11295219495543,14.158129450186427,26.357439620429346,71.99251168582879
