date,ym,news_total,EPU_index,E_breadth,E_intensity,P_breadth,P_intensity,U_breadth,U_intensity,EU_index,PU_index,EP_index
2015-01-01,2015-1,1.0,2164.3598714171876,391.67823367000864,269.1145157573963,160.23171449375693,58.28493620727168,504.6666813388133,305.55666898992575,1274.8469012490727,735.4702738187115,481.3105945679154
2015-02-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01,2015-3,4.0,0.0,0.0,0.0,126.28638997848093,80.15916227789668,0.0,0.0,0.0,0.0,0.0
2015-04-01,2015-4,8.0,0.0,0.0,0.0,86.22846135504169,178.5584296099129,0.0,0.0,0.0,0.0,0.0
2015-05-01,2015-5,15.0,0.0,102.55998777937928,197.77014996046208,171.64190882899493,112.72127665224124,143.02382212700888,307.7850918671241,0.0,241.44307955695285,0.0
2015-06-01,2015-6,9.0,0.0,0.0,0.0,76.6475212044815,136.04451779802892,0.0,0.0,0.0,0.0,0.0
2015-07-01,2015-7,10.0,0.0,39.167823367000864,26.91145157573963,119.49732507542572,87.45520429954452,214.53573319051333,296.7927671575839,0.0,362.1646193354293,48.13105945679155
2015-08-01,2015-8,3.0,0.0,130.5594112233362,89.70483858579875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-01,2015-9,10.0,0.0,0.0,0.0,34.49138454201668,122.44006601822603,0.0,0.0,0.0,0.0,0.0
2015-10-01,2015-10,11.0,0.0,35.60711215181897,24.464955977945117,139.98973601585672,160.33096091426472,0.0,0.0,0.0,0.0,43.75550859708322
2015-11-01,2015-11,10.0,0.0,0.0,0.0,68.98276908403336,102.03338834852168,0.0,0.0,0.0,0.0,0.0
2015-12-01,2015-12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,2016-1,7.0,0.0,0.0,0.0,49.273406488595256,272.08903559605784,0.0,0.0,0.0,0.0,0.0
2016-02-01,2016-2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,2016-3,9.0,0.0,0.0,0.0,38.32376060224075,68.02225889901446,0.0,0.0,0.0,0.0,0.0
2016-04-01,2016-4,3.0,0.0,0.0,0.0,114.97128180672226,45.34817259934297,0.0,0.0,0.0,0.0,0.0
2016-05-01,2016-5,23.0,0.0,133.77389710353816,276.38685553480724,0.0,0.0,93.2764057350058,286.7562967706125,697.6313287903611,0.0,0.0
2016-06-01,2016-6,10.0,0.0,0.0,0.0,103.47415362605004,68.02225889901446,0.0,0.0,0.0,0.0,0.0
2016-07-01,2016-7,8.0,0.0,0.0,0.0,43.11423067752085,119.03895307327532,0.0,0.0,0.0,0.0,0.0
2016-08-01,2016-8,5.0,0.0,0.0,0.0,68.98276908403336,54.41780711921157,0.0,0.0,0.0,0.0,0.0
2016-09-01,2016-9,14.0,0.0,0.0,0.0,123.18351622148816,68.02225889901446,0.0,0.0,0.0,0.0,0.0
2016-10-01,2016-10,4.0,0.0,769.1999083453444,317.84488386502835,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-01,2016-11,14.0,0.0,219.77140238438415,317.84488386502835,24.636703244297628,68.02225889901446,153.23980942179523,329.7697412862044,0.0,0.0,0.0
2016-12-01,2016-12,7.0,0.0,219.77140238438415,211.89658924335225,246.3670324429763,81.62671067881735,0.0,0.0,0.0,0.0,305.9479793013204
