,code,title,keywords
149,06.1.2.1,Medical diagnostic products (ND),"diagnostic equipment for self testing and medical equipment sold over the counter for personal use outside a health facility or institution pregnancy testing kits thermometers, glucose meters, blood pressure meters and other devices used in point of care testing, baby scales and so on medical diagnostic products purchased over the internet for personal use"
150,06.1.2.2,Preventive and protective devices (ND),"condoms and other mechanical contraceptive devices, masks, medicinal stockings e g , compression stockings , medicinal gloves, insecticide treated mosquito nets and so on"
151,06.1.2.3,Treatment devices for personal use (ND),"inhalers, syringes, humidifiers, nebulizers, hot bags, ice packs, first aid kits, bandages and so on"
152,06.1.3.1,Assistive products for vision (D),"all assistive products whose primary purpose is to maintain or improve an individual s vision, to compensate for an impairment or loss of intrinsic visual function or to mitigate the consequences of a gradual decline in visual function corrective eyeglasses spectacles for low vision and short and long distance spectacles white canes ocular prostheses e g , glass eyes and contact lenses"
153,06.1.3.2,Assistive products for hearing and communication (D),"all assistive products whose primary purpose is to maintain or improve an individual s hearing and capacity to communicate, to compensate for an impairment or loss of intrinsic hearing and communication capacity or to reduce the consequences of a gradual decline in functional hearing or communication capacity digital hearing aids cleaning, adjustment and batteries if not priced separately from the product"
154,06.1.3.3,Assistive products for mobility and daily living (D),"all assistive products whose primary purpose is to maintain or improve an individual s mobility and daily living in compensating for the impairment or loss of intrinsic mobility or the inability to perform daily activities or in reducing the consequences of a gradual decline in functional mobility and the ability to perform daily activities therapeutic diabetic, neuropathic and orthopaedic footwear and trusses and supports orthoses braces, splints and other artificial external devices serving to support the leg, spine, neck or hand leg and hand prostheses, including implants spinal belts and spinal, braces, including neck braces also known as cervical collars crutches rollators, walking frames walkers and standing frames wheelchairs, powered or manual, with or without cushions walkers, and walking sticks and canes for mobility chairs for shower, bath and toilet, handrails and grab bars absorbent incontinence products, including diapers for ageing populations pressure relief mattresses and special beds portable ramps"
166,07.1.1.1,New motor cars (D),"new motor cars, passenger vans, station wagons, estate cars, sport utility vehicles suvs , off road vehicles, pickup trucks and the like with either two or four wheel drive new racing motor vehicles and vehicles for shows"
167,07.1.1.2,Second-hand motor cars (D),"used or second hand motor cars, passenger vans, station wagons, estate cars, sport utility vehicles suvs , off road vehicles, pickup trucks and the like with either two or four wheel drive used or second hand racing motor vehicles and vehicles for shows"
168,07.1.2.0,Motorcycles (D),"motorcycles of all types including those with electric motors motor scooters, mopeds and motorized bicycles with combustion engines sidecars used or second hand motorcycles snowmobiles"
169,07.1.3.0,Bicycles (D),"bicycles, tricycles and other cycles cycle rickshaws electric bicycles e bikes and pedelecs electric kick scooters"
170,07.1.4.0,Animal-drawn vehicles (D),"animal drawn vehicles animals used to draw vehicles and related equipment e g , yokes, collars, harnesses, bridles, reins"
171,07.2.1.1,Tyres (SD),"new, used or retreaded, including inner tubes for cars, bicycles, motorcycles and so on"
172,07.2.1.2,Parts for personal transport equipment (SD),"spark plugs, batteries, shock absorbers, filters, pumps and other parts for personal transport equipment rims"
173,07.2.1.3,Accessories for personal transport equipment (SD),"global positioning system gps satellite based radionavigation equipment for personal transport snow chains, roof racks, cargo roof boxes fire extinguishers for transport equipment products used specifically for the cleaning and maintenance of transport equipment, such as paints, chrome cleaners, sealing compounds and bodywork polishes covers for motor cars, motorcycles and so on hubcaps, if purchased separately motorcycle and bicycle crash helmets car, motorcycle and bicycle seats for babies and children dash cameras chargers for electric vehicles bicycle trailers, baskets and other accessories crash helmets equipped with cameras"
174,07.2.2.1,Diesel (ND),diesel fuel
175,07.2.2.2,Petrol (ND),"petrol gasoline in north america petrol gasoline blends e g , petrol with per cent ethanol content"
176,07.2.2.3,Other fuels for personal transport equipment (ND),"liquefied petroleum gas lpg , natural gas compressed natural gas cng , liquefied natural gas lng , alcohol, biofuels ethanol, methanol , methane and two stroke mixtures electricity used as fuel for personal transport when priced separately from other electricity hydrogen"
177,07.2.2.4,Lubricants (ND),"lubricants, brake and transmission fluids, coolants and additives"
198,08.1.1.0,Fixed telephone equipment (D),"telephones, telefax and telephone answering machines, and telephone loudspeakers"
199,08.1.2.0,Mobile telephone equipment (D),"mobile telephone handsets, including multifunctional devices smartphones"
200,08.1.3.1,"Computers, laptops and tablets (D)",desktop computers and laptops tablets telefax and telephone answering facilities of personal computers
201,08.1.3.2,Peripheral equipment and its consumable components (D),"printers, photocopiers, scanners, monitors, projectors, augmented reality and virtual reality head mounts, modems, routers, network switches and the like, keyboards, mouses and digitizers typewriters and word processors device toner and ink cartridges, laser printer drums, typewriter ribbons calculators, including pocket calculators web cameras d printers"
202,08.1.4.0,"Equipment for the reception, recording and reproduction of sound and vision (D)","television sets, video cassette players and recorders, digital video recorders dvrs , dvd players, blu ray players, streaming boxes and television aerials of all types radio receivers radio sets, digital radio sets, internet radio sets, satellite radio sets, car radios, radio clocks, two way radios, walkie talkies, and amateur radio receivers and transmitters portable and non portable cd players portable and non portable sound players stereo equipment and cd radio cassette recorders turntables, tuners, amplifiers, cassette decks, microphones and speakers, disc jockey dj equipment and karaoke systems audio and video systems for cars set top boxes, satellite receivers, internet protocol television receivers and television converter boxes digital media players headphones, earplugs and wireless, including bluetooth headsets"
203,08.1.5.0,Unrecorded recording media (SD),"compact discs recordable cd r and rewritable cd rw dvds recordable dvd r and rewritable dvd rw blu ray discs recordable bd r and recordable erasable bd re video cassettes audiotapes, audio cassettes and digital audiotapes dat external hard drives, solid state drives and network attached storage nas usb keys and usb flash drives secure digital sd cards, compactflash cf cards and so on magnetic data tapes other magnetic recording media other optical recording media other recording media phase change recording media, holographic recording media, molecular recording media, etc"
204,08.1.9.1,Other information and communication equipment (D),"baby monitors smartwatches fitness trackers and other wearable devices e g , smartglasses that, in general, do not work without a smartphone or tablet connection e book readers"
205,08.1.9.2,Other information and communication accessories (SD),"chargers, batteries for information and communication equipment, cables, power banks, docking stations, covers, cases, cradles and mounts computer components, for example, processors, internal hard drives, solid state drives, motherboards, memory, dvd drives, hard drives"
215,09.1.1.1,Cameras (D),"still cameras, movie cameras and sound recording cameras, film and slide projectors, enlargers and film processing equipment video cameras, including camcorders and action cameras materials purchased by households with the intention of undertaking maintenance and repairs themselves"
216,09.1.1.2,Accessories for photographic and cinematographic equipment (D),"parts and accessories for photographic and cinematographic equipment and optical instruments such as screens, viewers, lenses including zoom lenses , flash attachments, filters, exposure meters and so on photographic developer and photographic paper materials purchased by households with the intention of undertaking maintenance and repairs themselves unexposed photographic and cinematographic films camera specific batteries and chargers"
217,09.1.1.3,Optical instruments (D),"binoculars, microscopes, telescopes and compasses"
218,09.1.2.1,"Camper vans, caravans and trailers (D)","camper vans, caravans and trailers"
219,09.1.2.2,"Aeroplanes, microlight aircraft, gliders, hang gliders and hot-air balloons (D)","aeroplanes, microlight aircraft, gliders, hang gliders and hot air balloons"
220,09.1.2.3,"Boats, yachts, outboard motors and other water-sport equipment (D)","boats, yachts, outboard motors, sails, jet skis, rigging and superstructures vessels for recreation, sailboats, sailboards, water sport boards canoes, kayaks, windsurfing boards and so on sea diving equipment water sport equipment and related accessories"
221,09.1.2.4,"Horses, ponies, camels and dromedaries and accessories (D)","horses and ponies, horse and pony drawn vehicles, and camels and dromedaries, and related equipment harnesses, bridles, reins, saddles, etc , purchased for recreational purposes"
222,09.1.2.9,Other major recreational durables (D),"golf carts large garden swimming pools above ground billiards tables, ping pong tables, pinball machines, gaming machines and so on electric skateboards, self balancing unicycles and other electric recreational scooters other major recreational durables n e c"
223,09.2.1.1,"Video game computers, consoles, game applications and software (SD)","video game computers video game consoles gamepads, joysticks, racing wheels and other video gaming accessories electronic games video game software for game consoles, computers, tablets and smartphones, on media such as cd roms, cartridges, dvds, blu ray discs and flash drives or available from the internet game applications"
224,09.2.1.2,"Other games, toys and hobby-related articles (SD)","traditional games, for example, card games, parlour games, board games, chess sets dolls toy cars, including toy trains, toy bicycles and tricycles remote controlled toy cars, ships, planes and aerial vehicles soft toys, teddy bears and so on toy construction sets toy instruments puzzles modelling clay masks disguises joke toys novelties models and replicas of planes, boats, trains and so on requisites for stamp collecting practised as a hobby used or cancelled postage stamps, stamp albums, etc other collection items coins, medals, minerals, zoological and botanical specimens, etc and other hobby tools and articles, n e c"
225,09.2.1.3,Celebration articles (ND),"fireworks and rockets festoons christmas trees holiday decorations for christmas, easter, diwali, eid, hanukkah and other celebrations"
226,09.2.2.1,Sporting equipment (SD),"gymnastic, physical education and sporting equipment, such as balls, shuttlecocks, nets, rackets, bats, skis, golf clubs, discuses and javelins parachutes, paragliders and other skydiving equipment firearms and ammunition, other weapons, and body armour for hunting, sport and personal protection fishing rods and other fishing equipment skateboards, kickboards, smart balance wheels and hover boards walking sticks and canes for recreational purposes e g , hiking and tracking game specific footwear ski boots, football boots, golfing shoes and other such footwear fitted with ice skates, rollers, spikes, studs, etc game specific sportswear ski suits, etc protective sports headgear other protective sports gear, such as life jackets, boxing gloves, sport gloves, body padding, shin guards, goggles, belts, supports"
227,09.2.2.2,Camping and open-air recreation equipment (SD),"equipment for beach and open air games, such as bowls, croquet, flying disc games, and volleyball and inflatable boats, rafts and swimming pools tents, sleeping bags, backpacks for camping, air mattresses, inflating pumps, camping stoves and gas, barbecues and other camping accessories global positioning system gps satellite based radionavigation positioning equipment for boating and hiking"
228,09.3.1.1,Garden products (ND),"soil, peat and fertilizers, pesticides, composts lawn turf, specially treated soils for ornamental gardens and horticultural preparations pots and pot holders decorative garden materials"
229,09.3.1.2,"Plants, seeds and flowers (ND)","indoor plants, natural and artificial outdoor plants seeds, bulbs and tubers for planting shrubs indoor flowers, natural and artificial, whether in a vase or not outdoor flowers flower seeds and bulbs natural and artificial flowers and wreaths for decoration of burial places cut flowers"
230,09.3.2.1,Pets (D),purchase of pets
231,09.3.2.2,Products for pets and other household animals (ND),"pet foods, pet veterinary and grooming products, collars, leashes, kennels, birdcages, fish tanks, cat litter feed and veterinary products for animals used for transportation, own consumption or recreation"
243,09.5.1.0,Musical instruments (D),"musical instruments of all sizes, including electronic musical instruments, such as pianos, organs, violins, guitars, drums, trumpets, clarinets, flutes, recorders, harmonicas and so on replacement parts for musical instruments"
244,09.5.2.0,Audiovisual media (SD),"recorded tapes, cd roms, dvds, blu ray discs, gramophone records and flash drives, reproducing sound and picture material downloads of music and films"
249,09.7.1.1,Educational books and textbooks (SD),"education textbooks school academic manuals, etc in any form, complete or in excerpts, and on any media including electronic formats and as photocopies encyclopaedias and dictionaries"
250,09.7.1.9,Other books (SD),"other books in any form, complete or in excerpts, and on any media including electronic formats and as photocopies fiction and non fiction books children s books and scrapbooks, albums and colouring books for children art books musical scores religious books travel guides atlases scrapbooks and albums for children"
251,09.7.2.1,Newspapers (ND),newspapers purchased at kiosks newspaper subscriptions home delivery newspaper subscriptions digital access newspapers in all electronic formats
252,09.7.2.2,Magazines and periodicals (ND),lifestyle magazines children s magazines hobby and leisure magazines business and political magazines television magazines magazine and periodical subscriptions home delivery magazines and periodical subscriptions digital access magazines and periodicals in all electronic formats
253,09.7.3.0,Miscellaneous printed matter (ND),"miscellaneous printed matter, including in electronic form catalogues and advertising material posters, picture postcards, calendars greeting cards and visiting cards, announcement and message cards maps and globes"
254,09.7.4.0,Stationery and drawing materials (ND),"writing pads, envelopes, account books, diaries and so on postcards, envelopes and other postal matter, not pre franked drawing paper educational materials, such as exercise books wrapping paper pens, pencils, fountain pens, ballpoint pens, felt tip pens, inks, erasers, pencil sharpeners and so on stencils, carbon paper, inking pads, correcting fluids and so on paper punches, paper cutters, paper scissors, office glues and adhesives, staplers and staples, paper clips, drawing pins and so on drawing and painting materials, such as canvas, card, paints, crayons, pastels and brushes slide rules, geometry instruments, slates, chalks and pencil boxes"
281,13.1.1.1,Purchase of electric appliances for personal care (SD),"electric razors, hair trimmers and epilators, hand held and hood hairdryers, straightening irons, curling tongs and styling combs, sunlamps, vibrators, electric toothbrushes and other electric appliances for dental hygiene and so on"
283,13.1.2.0,"Other appliances, articles and products for personal care (ND)","non electric appliances shavers, razors and hair trimmers and blades therefor, scissors, nail files, combs, shaving brushes, hairbrushes, toothbrushes, nail brushes, hairpins, curlers, personal weighing machines, scales and so on articles for personal hygiene toilet soap, medicinal soap, cleansing oil and milk, shaving soap, shaving cream and foam, toothpaste, epilation wax, paper handkerchiefs and so on beauty products lipstick, nail varnish, make up and makeup removal products including powder compacts, brushes and powder puffs , hair lacquers and lotions, pre shave and after shave products, sunbathing products and sunscreens, hair removers, perfumes and toilet waters, personal deodorants, bath products and so on"
286,13.2.1.1,Purchase of jewellery and watches (D),"precious stones and metals and jewellery fashioned out of such stones and metals costume jewellery, cuff links and tiepins watches and stopwatches"
288,13.2.2.0,Devotional articles and articles for religious and ritual celebrations (SD),"religious and ritual articles, such as crucifixes and rosaries, figurines, pictures, votive candles, amulets, strips of paper with prayers, menorah chandeliers, advent wreaths and others articles to be used in religious and ritual celebrations"
289,13.2.9.1,"Travel goods, baby articles and other personal effects n.e.c. (SD)","travel goods and other carriers of personal effects suitcases, trunks, travel bags, attache cases, satchels, handbags, wallets, purses, backpacks for school and travel and so on articles for babies diapers nappies of any material, baby carriages, pushchairs strollers, carrycots, recliners, back carriers, front carriers, harnesses for babies and so on articles for smokers pipes, lighters, cigarette cases, cigar cutters, ashtrays, electronic cigarette devices and so on miscellaneous personal articles non corrective sunglasses, protective glasses, umbrellas and parasols, fans, key rings, pill organizers, ear plugs and so on funerary articles coffins, gravestones, urns, burial shrouds, and so on lighter fuel wall thermometers and barometers"
299,14.2.1.0,Pharmaceutical products (ND),the same function is covered under copni class this subclass corresponds to coicop classes and
300,14.2.2.0,Other medical products (ND),the same function is covered under copni class this subclass corresponds to coicop classes and
301,14.2.3.0,Therapeutic appliances and equipment (D),the same function is covered under copni class this subclass corresponds to coicop classes and
321,15.2.1.0,Pharmaceutical products (ND),the same function is covered under cofog class this subclass corresponds to coicop classes and
322,15.2.2.0,Other medical products (ND),the same function is covered under cofog class this subclass corresponds to coicop classes and
323,15.2.3.0,Therapeutic appliances and equipment (D),the same function is covered under cofog class this subclass corresponds to coicop classes and
