,code,title,keywords
34,04.3.1,Security equipment and materials for dwelling maintenance and repair,"products and materials such as paints and varnishes, renderings, wallpapers, fabric wall coverings, windowpanes, plaster, cement, putty, wallpaper pastes, etc , purchased for minor maintenance and repair of the dwelling small plumbing items pipes, taps, joints, etc , surfacing materials floorboards, ceramic tiles, etc and brushes and scrapers for paint, varnish and wallpaper fitted carpets and linoleum door fittings, power sockets and wiring flex small surveillance and security equipment for individual dwellings door phones for dwellings fire extinguishers"
36,04.4.1,Water supply (ND),"water supply associated expenditures, such as for meter reading and rental, standing charges and so on"
40,04.5.1,Electricity (ND),"electricity from all sources coal, solar, hydro, etc associated expenditure, such as meter rentals, cost of meter readings, standing charges, etc charges for self produced energy i e , in some countries, households that self produce more electricity than they consume are charged storage costs if they transmit that surplus electricity back into the electricity supply grid"
41,04.5.2,Gas (ND),"town gas and natural gas liquefied hydrocarbons butane, propane, etc associated expenditure, such as meter rentals, cost of meter readings, rental or purchase of storage containers, standing charges, etc"
42,04.5.3,Liquid fuels (ND),"domestic heating, lighting and cooking fuel oils biofuels for domestic use alcohol for fireplaces"
43,04.5.4,Solid fuels (ND),"biomass wheat, nutshell, etc , briquettes, charcoal, coal, coke, dry animal dung, firewood, and peat and the like"
44,04.5.5,Other energy for heating and cooling (ND),"hot water and steam purchased from district heating plants ice used for the purpose of cooling and refrigeration associated expenditure, such as meter rentals, cost of meter readings, standing charges and so on"
45,05.1.1,"Furniture, furnishings and loose carpets (D)","sofas, couches, tables, chairs, cupboards, chests of drawers and bookshelves, hanger stands and coat stands bunk beds and baby furniture, such as cradles, highchairs and playpens beds, mattresses, mattress bases tatamis , wardrobes and bedside tables kitchen tables, chairs, cupboards and surfaces furniture primarily for bathroom use furniture primarily for garden use wrought iron benches, tables and arbours small garden sheds for the storage of garden tools and machines camping furniture lighting equipment, such as ceiling lights, standard lamps, globe lights, bedside lamps, and light and led strings inflatable sofas, armchairs and beds custom made furniture loose carpets and rugs pictures, sculptures, engravings, tapestries, other art objects, including reproductions of works of art, and other ornaments statuettes and other decorative articles, including those made of porcelain and crystal glass wall clocks, floor clocks, alarm clocks and travel clocks screens, folding partitions, non textile blinds, mirrors, candle holders and candlesticks leather and fur for upholstery and room decoration"
47,05.2.1,Household textiles (SD),"furnishing fabrics, curtain material, curtains, double curtains, awnings, door curtains and fabric blinds bedding, such as covers for futons, pillows, bolsters and hammocks bed linen, such as sheets, pillowcases, blankets, travelling rugs, plaids, eiderdowns, counterpanes and mosquito nets table and bathroom linen, such as tablecloths, table napkins, towels and facecloths other household textiles, such as shopping bags, laundry bags, shoe bags, covers for clothes and furniture, flags, sunshades and so on oilcloth bathroom mats, rush mats and doormats and made to measure household textiles feathers and other fillers for pillows"
49,05.3.1,Major electric and other household appliances (D),"refrigerators, dual temperature refrigerators and freezers dishwashers electric, gas, oil, ceramic and induction panels hobs spit roasters electric, gas and convection ovens and combined cooker and microwave ovens extractor hoods washing machines, dryers, drum dryers, drying cabinets and drying radiators ironing machines and electric mangles air conditioners, humidifiers, space heaters, water heaters and ventilators vacuum cleaners steam cleaning machines carpet shampooing machines and machines for scrubbing, waxing and polishing floors other major household appliances, such as safes, sewing machines, knitting machines and water softeners appliance delivery and installation where applicable and when not separately priced parts and materials purchased by households with the intention of undertaking maintenance and repair themselves"
