code,title,keywords
04.4.2,Refuse collection (S),refuse collection and disposal recycling fees paid by households
04.4.3,Sewage collection (S),"sewage collection, emptying of cesspools and disposal services"
04.4.4,Other services related to the dwelling (S),"co proprietor charges for caretaking, gardening, stairwell cleaning, heating and lighting, maintenance of lifts and refuse disposal chutes, pool cleaning and so on, in multi occupied buildings road and sidewalk cleaning and chimney sweeping measurement of background radiation and the content of harmful substances inside dwellings landscaping and cleaning of grounds surrounding the dwelling snow removal"
04.5.1,Electricity (ND),"electricity from all sources coal, solar, hydro, etc associated expenditure, such as meter rentals, cost of meter readings, standing charges, etc charges for self produced energy i e , in some countries, households that self produce more electricity than they consume are charged storage costs if they transmit that surplus electricity back into the electricity supply grid"
04.5.2,Gas (ND),"town gas and natural gas liquefied hydrocarbons butane, propane, etc associated expenditure, such as meter rentals, cost of meter readings, rental or purchase of storage containers, standing charges, etc"
04.5.3,Liquid fuels (ND),"domestic heating, lighting and cooking fuel oils biofuels for domestic use alcohol for fireplaces"
04.5.4,Solid fuels (ND),"biomass wheat, nutshell, etc , briquettes, charcoal, coal, coke, dry animal dung, firewood, and peat and the like"
04.5.5,Other energy for heating and cooling (ND),"hot water and steam purchased from district heating plants ice used for the purpose of cooling and refrigeration associated expenditure, such as meter rentals, cost of meter readings, standing charges and so on"
05.1.1,"Furniture, furnishings and loose carpets (D)","sofas, couches, tables, chairs, cupboards, chests of drawers and bookshelves, hanger stands and coat stands bunk beds and baby furniture, such as cradles, highchairs and playpens beds, mattresses, mattress bases tatamis , wardrobes and bedside tables kitchen tables, chairs, cupboards and surfaces furniture primarily for bathroom use furniture primarily for garden use wrought iron benches, tables and arbours small garden sheds for the storage of garden tools and machines camping furniture lighting equipment, such as ceiling lights, standard lamps, globe lights, bedside lamps, and light and led strings inflatable sofas, armchairs and beds custom made furniture loose carpets and rugs pictures, sculptures, engravings, tapestries, other art objects, including reproductions of works of art, and other ornaments statuettes and other decorative articles, including those made of porcelain and crystal glass wall clocks, floor clocks, alarm clocks and travel clocks screens, folding partitions, non textile blinds, mirrors, candle holders and candlesticks leather and fur for upholstery and room decoration"
05.1.2,"Repair, installation and hire of furniture, furnishings and loose carpets (S)","the cost of materials is included only if the materials are not separately priced repair of furniture, garden and camping furniture, furnishings and loose carpets restoration of works of art, antique furniture and antique floor coverings other than those acquired primarily as stores of value capital formation hire of furniture, garden and camping furniture, furnishings and loose carpets installation of furniture, when separately priced"
05.2.1,Household textiles (SD),"furnishing fabrics, curtain material, curtains, double curtains, awnings, door curtains and fabric blinds bedding, such as covers for futons, pillows, bolsters and hammocks bed linen, such as sheets, pillowcases, blankets, travelling rugs, plaids, eiderdowns, counterpanes and mosquito nets table and bathroom linen, such as tablecloths, table napkins, towels and facecloths other household textiles, such as shopping bags, laundry bags, shoe bags, covers for clothes and furniture, flags, sunshades and so on oilcloth bathroom mats, rush mats and doormats and made to measure household textiles feathers and other fillers for pillows"
05.2.2,"Repair, hire and sewing services of household textiles (S)",the cost of materials is included only if they are not separately priced repair of household textiles sewing of household textiles hire of household textiles
05.3.1,Major electric and other household appliances (D),"refrigerators, dual temperature refrigerators and freezers dishwashers electric, gas, oil, ceramic and induction panels hobs spit roasters electric, gas and convection ovens and combined cooker and microwave ovens extractor hoods washing machines, dryers, drum dryers, drying cabinets and drying radiators ironing machines and electric mangles air conditioners, humidifiers, space heaters, water heaters and ventilators vacuum cleaners steam cleaning machines carpet shampooing machines and machines for scrubbing, waxing and polishing floors other major household appliances, such as safes, sewing machines, knitting machines and water softeners appliance delivery and installation where applicable and when not separately priced parts and materials purchased by households with the intention of undertaking maintenance and repair themselves"
05.3.2,Small household appliances (SD),"multifunction machines, food mixers, blenders and blenders with heating elements slicing machines rice cookers and slow cookers toasters sandwich grills meat and fish grills deep fryers ice cream makers sorbet makers yoghurt makers hot plates can openers electric knives coffee machines tea makers water boilers kettles coffee mills juice extractors electric irons fans electric blankets non electric appliances for cooking and processing of food, such as puree makers, mincers, hot plates and household scales non electric appliances for preparing beverages, such as coffee mills, sparkling water makers and juice extractors other non electric household appliances, such as irons and ironing boards"
05.3.3,"Repair, installation and hire of household appliances (S)",the cost of materials is included only if the materials are not separately priced repair of household appliances hire of household appliances installation of household appliances if priced separately
