code,title,keywords
08.3.3,Internet access provision services and online storage services (S),"internet access services provided by operators of wired, wireless or satellite infrastructure cloud storage, file hosting and web hosting services subscriptions for email services activation and installation fees and monthly rates"
08.3.4,Bundled telecommunication services (S),"packages bundling together telephony, internet and television services packages comprising any combination of telecommunications services"
08.3.5,Repair and rental of information and communication equipment (S),"repair, maintenance and rental of all information and communication equipment, including the cost of materials if the materials are not separately priced rental of telephones, telefax machines, telephone answering machines and telephone loudspeakers rental of wireless telephone equipment rental of internet access provision equipment rental of telegraphy, telex and telefax equipment"
08.3.9,Other information and communication services (S),"telegraphy, telex and telefax services provision of nomadic voice over internet protocol voip services fees licenses for access to reception of public television or radio broadcasts or the possession of a television set or radio subscription to cable television, satellite television, internet protocol television iptv and pay television streaming services online video recorder services web based digital video recorder services video on demand vod services rental or subscription of cds, videotapes, dvds, blu ray discs and software excluding game software software installation services rental and leasing fees for decoders, set top boxes and so on repair, rental, and installation of equipment for the reception, recording and reproduction of sound and vision"
09.1.1,Photographic and cinematographic equipment and optical instruments (D),"still cameras, movie cameras and sound recording cameras, film and slide projectors, enlargers and film processing equipment video cameras, including camcorders and action cameras screens, viewers, lenses including zoom lenses , flash attachments, filters, exposure meters and so on photographic developer and photographic paper binoculars, microscopes, telescopes and compasses materials purchased by households with the intention of undertaking maintenance and repair themselves unexposed photographic and cinematographic films camera specific batteries and chargers"
09.1.2,Major recreational durables (D),"camper vans, caravans and trailers aeroplanes, microlight aircraft, gliders, hang gliders and hot air balloons boats, yachts, outboard motors, sails, rigging and superstructures vessels for recreation, sailboats, sailboards, water sport boards canoes, kayaks and windsurfing boards sea diving equipment horses and ponies, horse and pony drawn vehicles, camels and dromedaries, and related equipment harnesses, bridles, reins, saddles, etc , purchased for recreational purposes golf carts large garden swimming pools above ground billiard tables, ping pong tables, pinball machines, gaming machines and so on other major recreational durables n e c materials purchased by households with the intention of undertaking maintenance and repairs themselves"
09.2.1,"Games, toys and hobby-related articles (SD)","card games, board games, parlour games, chess sets and similar items video game software video game computers that can be plugged into a television set video game cassettes and video game cd roms, video game downloads game applications gamepads, joysticks, racing wheels and other video gaming accessories electronic games toys of all kinds including dolls, soft toys, toy cars and trains, toy bicycles and tricycles, toy construction sets, puzzles, modelling clay, electronic games, masks, disguises, jokes, novelties, fireworks and rockets, and festoons and holiday decorations remote controlled toy cars, ships, planes and aerial vehicles requisites for stamp collecting practised as a hobby used or cancelled postage stamps, stamp albums, etc , other collection items coins, medals, minerals, zoological and botanical specimens, etc and other hobby related articles n e c materials purchased by households with the intention of undertaking maintenance and repair themselves"
09.2.2,"Sporting, camping and open-air recreation equipment (SD)","gymnastic, physical education and sporting equipment, such as balls, shuttlecocks, nets, rackets, bats, skis, golf clubs, foils, sabres, poles, javelins and weights, dumb bells, chest expanders and other body building equipment parachutes, paragliders and other skydiving equipment firearms and or ammunition, other weapons, and body armour for hunting, sport and personal protection fishing rods and other fishing equipment equipment for beach and open air games, such as bowls, croquet, flying disc games and volleyball inflatable boats, rafts and swimming pools skateboards, kickboards, smart balance wheels and hover boards camping equipment, such as tents, sleeping bags, backpacks for camping, air mattresses, inflating pumps, camping stoves and gas, barbecues and other camping accessories walking sticks and canes for recreational purposes e g , hiking and tracking game specific footwear ski boots, football boots, golfing shoes and other such footwear fitted with ice skates, rollers, spikes, studs, etc protective sports headgear and other protective sports gear, such as life jackets, boxing gloves, sport gloves, body padding, shin guards, goggles, belts and supports materials purchased by households with the intention of undertaking maintenance and repair themselves global positioning system gps satellite based radionavigation positioning equipment for boating and hiking"
09.3.1,"Garden products, plants and flowers (ND)","soil, peat, composts and fertilizers insecticides, pesticides, herbicides and fungicides four outdoor and garden use lawn turf, specially treated soils for ornamental gardens and horticultural preparations pots and pot holders decorative garden materials indoor plants, natural and artificial outdoor plants seeds, bulbs and tubers for planting shrubs indoor flowers, natural and artificial, whether arranged in a vase or not outdoor flowers flower seeds and bulbs natural and artificial flowers and wreaths for decoration of burial places cut flowers flower and plant delivery charges, if not priced separately"
09.3.2,Pets and pet products (D),"pets, pet foods, pet veterinary and grooming products, collars, leashes, kennels, birdcages, fish tanks, cat litter feed and veterinary products for animals used for transportation, own consumption or recreation"
09.4.1,Hire and repair of photographic and cinematographic equipment and optical instruments (S),the cost of materials is included only if the materials are not priced separately hire of photographic and cinematographic equipment and optical instruments repair of photographic and cinematographic equipment and optical instruments
09.4.2,"Hire, maintenance and repair of major recreational durables (S)","the cost of materials is included only if the materials are not priced separately maintenance and repair of major recreational durables, as listed under winter lay up of boats, yachts, camper vans, caravans, etc hangar services for private planes and marina services for boats hire of major recreational durables, as listed under"
09.4.3,"Hire and repair of games, toys and hobby-related articles (S)","the cost of materials is included only if the materials are not priced separately hire of video game consoles hire of and subscriptions to software and applications repair of video game consoles, toys and hobby related articles"
09.4.4,"Hire and repair of sporting, camping and open-air recreational equipment (S)","the cost of materials is included only if the materials are not priced separately hire and repair of sporting, camping and open air recreational equipment hire of beach umbrellas and deckchairs"
09.4.5,Veterinary and other services for pets (S),"veterinary and other pet services, such as grooming, tattooing and training pet boarding and pet day care services veterinary and hosting services for household animals, such as animals used for transportation, own consumption or recreation"
09.4.6,Recreational and sporting services (S),"recreational and sporting services provided at sports stadiums, horse racing courses, motor racing circuits and velodromes skating rinks, swimming pools, golf courses, gymnasiums, fitness centres, tennis courts, squash courts, bowling alleys and shooting ranges fairgrounds and amusement parks ski slopes and by ski lifts roundabouts, see saws and other children s playground facilities pinball and other games for adults, excluding games of chance gaming arcades out of school lessons, as provided to individuals and groups, in bridge, chess, aerobics, skating, skiing, swimming and other pastimes sports club and fitness centre membership fees services provided by mountain guides, tour guides and so on boating related navigational aid services water park services dancing establishment and nightclub entrance fees sports competition participation fees fees for sports title and sports category certificates hunting and fishing licences paid fishing fees for membership in fishermen s and hunters clubs"
09.4.7,Games of chance (S),"service charges associated with lotteries, bookmakers, totalizators, casinos and other gambling establishments, gaming machines, bingo halls, sale of scratch cards, sweepstakes and so on online games of chance"
09.5.1,Musical instruments (D),"musical instruments of all sizes, including electronic musical instruments, such as pianos, organs, violins, guitars, drums, trumpets, clarinets, flutes, recorders and harmonicas replacement parts for musical instruments"
09.5.2,Audiovisual media (SD),"recorded tapes, cd roms, dvds, blu ray discs, gramophone records and flash drives, reproducing sound and visual material downloads of music and films"
09.6.1,"Services provided by cinemas, theatres and concert venues (S)","services provided by cinemas services provided by theatres and opera houses services provided by concert and music venues services provided by circuses, sound and light son et lumiere and other shows services of musicians, clowns, performers for private entertainments music, dancing and artistic performances arts and music festivals"
09.6.2,"Services provided by museums, libraries and cultural sites (S)","services provided by museums, art galleries, exhibitions, historical monuments and archaeologic sites services provided by libraries services provided by national parks, zoological and botanical gardens and aquaria"
09.6.3,Photographic services (S),"services provided by photographers, such as portrait photography, event photography and video production e g , for weddings , film developing, print processing and enlarging photographic services provided by non specialized shops e g , supermarkets, consumer electronic stores, etc online photographic services"
09.6.9,Other cultural services (S),"hire and repair of musical instruments bookbinding services art, dance, music and photography classes in a classroom setting or via e learning rental of the premises of cultural venues for amateur music group rehearsals and weddings and other celebrations"
09.7.1,Books (SD),"books in any form, complete or in excerpts, and on any media including electronic formats and as photocopies atlases, dictionaries, encyclopaedias, guidebooks and musical scores reproductions of educational books novels, plays, poetry, etc on any media scrapbooks and albums for children"
09.7.2,Newspapers and periodicals (ND),"newspapers, magazines and other periodicals newspapers and periodicals in all electronic formats"
09.7.3,Miscellaneous printed matter (ND),"miscellaneous printed matter, including in electronic form catalogues and advertising material posters, picture postcards and calendars greeting cards and visiting cards, announcement cards and message cards maps and globes"
09.7.4,Stationery and drawing materials (ND),"writing pads, envelopes, account books, diaries and so on postcards, envelopes and other postal matter, not pre franked drawing paper educational materials, such as exercise books wrapping paper pens, pencils, fountain pens, ballpoint pens, felt tip pens, inks, erasers, pencil sharpeners and so on stencils, carbon paper, inking pads, correcting fluids and so on paper punches, paper cutters, paper scissors, office glues and adhesives, staplers and staples, paper clips, drawing pins and so on drawing and painting materials, such as canvas, card, paints, crayons, pastels and brushes slide rules, geometry instruments, slates, chalks and pencil boxes"
09.8.0,Package holidays (S),"all inclusive holidays or tours that provide for travel, food, accommodation, guides and so on excursion tours, including transport and guide sport and recreation camps for children as well as for adults usually during summer holidays , which include catering and accommodation as well as activities"
10.1.0,Early childhood and primary education (S),levels and of isced early childhood and primary education literacy programmes for students too old for primary school education services for children with special educational need excursions that are part of the normal school programme travel and accommodation costs
10.2.0,Secondary education (S),"levels and of isced lower secondary and upper secondary education secondary education is designed to lay the foundation for lifelong learning and human development and to provide the skills and knowledge needed either for further studies at post secondary and tertiary levels or for entry into the labour market, or both programmes are increasingly subject oriented and specialized different study options or streams are offered, including vocational education and training secondary education for adults and young people, including second chance or reintegration programmes out of school secondary education for adults and young people education services for adolescents with special educational needs excursions or student exchanges that are part of the normal school programme travel and accommodation costs"
10.3.0,Post-secondary non-tertiary education (S),"level of isced post secondary non tertiary education provides learning experiences building on secondary education, preparing for entry into the labour market and tertiary education it is aimed at the individual acquisition of knowledge, skills and competencies lower than the level of complexity characteristic of tertiary education post secondary non tertiary education is typically designed to provide individuals who completed upper secondary education without qualifications required for progression to tertiary education and or for individuals seeking specific types of employment when their secondary qualification does not grant such access for example, graduates from general secondary programmes may choose to complete a non tertiary vocational qualification or graduates from vocational secondary programmes may choose to increase their level of qualifications or specialize further usually, programmes at this level are designed for direct entry into the labour market general programmes designed to give access to or improved access to tertiary education can also exist out of school post secondary non tertiary education for adults and young people education services for young people and adults with special educational needs excursions or student exchanges that are part of the normal school programme travel and accommodation costs"
10.4.0,Tertiary education (S),"levels , , and of isced tertiary education build on secondary education and provide learning activities in specialized fields of education it is aimed at a high level of complexity and specialization it includes both academic education and advanced vocational or professional education at the highest levels, programmes lead to an advanced research qualification based on advanced study and original research excursions or student exchanges that are part of the normal school programme travel and accommodation costs university admission tests"
10.5.0,Education not defined by level (S),"independent tutors private lessons , tutor centres, homework help centres and so on short educational courses, generally for adults, which do not require any special prior instruction, in particular cultural development or some types of vocational training language immersion courses and international travel for learning languages languages courses in classroom or online language proficiency tests courses in the use of computers and or specific software exam preparation courses online tutoring"
11.1.1,"Restaurants, cafés and the like (S)","food and beverages services provided by restaurants, cafes and similar eating facilities providing full, limited or self service tobacco that is consumed with a shisha or a hookah pipe in restaurants, cafes or shisha lounges tips and gratuities"
11.1.2,"Canteens, cafeterias and refectories (S)","food and beverages provided by canteens, cafeterias or refectories i e , restaurants, cafes, etc at work office premises, in schools, universities and other educational establishments, to hospital in patients, if separately invoiced university refectories, military messes and wardrooms"
11.2.0,Accommodation services (S),"accommodation services for visitors and other travellers away from their permanent principal or secondary residence included here are other services, if not separately priced, such as food and beverage services, housekeeping, parking, laundry, swimming pools and exercise rooms, recreational facilities and conference and convention facilities resorts, hotels, hotels letting rooms by the hour, motels, inns and pensions accommodation services provided by private, holiday homes, guesthouses and boarding houses as secondary residence and other bed and breakfast establishments timeshare units holiday villages and holiday centres, camping, onsite non mobile caravans and boats youth hostels and mountain refuges bungalows, chalets, housekeeping cottages and cabins student residences, school and other educational establishment dormitories, when separately priced, hostels and other accommodations for workers railway sleeping cars and other public transport, when separately priced website fees to list, find and rent lodging travel agency fees for accommodation, if priced separately tips and gratuities for bellmen, bellhops, hotel porters and maids"
12.1.1,Life and accident insurance (S),"service charges for life insurance, annuities, death benefit insurance, education insurance and so on service charges for funeral insurance service charges for accident insurance"
12.1.2,Insurance connected with health (S),"service charges for direct sickness insurance service charges for social health insurance service charges for disability insurance service charges for critical illness insurance service charges for long term care insurance service charges for supplementary health insurance service charges for supplementary prescription drug insurance service charges for travel health insurance service charges for medical transport e g , ambulance insurance"
12.1.3,Insurance connected with dwellings (S),"service charges paid by owner occupiers and by tenants for the kinds of insurance typically taken out by tenants against fire, theft, water damage and so on service charges for household contents insurance"
12.1.4,Insurance connected with transport (S),"service charges for insurance in respect of personal transport equipment service charges for travel insurance for change of travel plans, travel cancellation, etc and luggage insurance"
12.1.9,Other insurance (S),"service charges for other insurance, such as civil liability for injury or damage to third parties or their property service charges for standardized guarantees service charges for legal insurance service charges for pet medical insurance"
12.2.1,Financial intermediation services indirectly measured (S),"financial intermediation services indirectly measured is calculated as the difference between the actual bank interest receivable and sna interest receivable by financial corporations on the loans that they issue, and the difference between sna interest payable and the actual bank interest payable by financial corporations on the deposits of their customers financial intermediation services, indirectly measured, of deposit taking corporations implicit financial services provided by moneylenders, credit card issuers, finance associates of retailers who may be responsible for providing loans, pawnshops and corporations involved in lending e g , in providing student loans and import export loans"
12.2.2,Explicit charges by deposit-taking corporations (S),"explicit charges for the financial services of deposit taking corporations, such as commercial banks, credit unions, cooperative banks, savings banks, post banks and postal savings banks"
12.2.9,Other financial services (S),"actual and implicit charges for the financial services of money changers and other financial institutions fees and service charges and implicit charges of money market funds, non money market investment funds, brokers, consultants and the like fees and service charges and implicit charges of money market funds, non money market investment funds, brokers and the like administrative charges and implicit charges of pension funds and the like remittance fees"
13.1.1,Electric appliances for personal care (SD),"electric razors, hair trimmers and epilators, hand held and hood hairdryers, straightening irons, curling tongs and styling combs, sunlamps, vibrators, electric toothbrushes and other electric appliances for dental hygiene and so on repair of electric appliances for personal care"
13.1.2,"Other appliances, articles and products for personal care (ND)","non electric appliances shavers, razors and hair trimmers and blades therefor, scissors, nail files, combs, shaving brushes, hairbrushes, toothbrushes, nail brushes, hairpins, curlers, personal weighing machines, scales and so on articles for personal hygiene toilet soap, medicinal soap, cleansing oil and milk, shaving soap, shaving cream and foam, toothpaste, epilation wax, paper handkerchiefs and so on beauty products lipstick, nail varnish, make up and make up removal products including powder compacts, brushes and powder puffs , hair lacquers and lotions, pre shave and after shave products, sunbathing products and sunscreens, hair removers, perfumes and toilet waters, personal deodorants, bath products and so on"
13.1.3,Hairdressing salons and personal grooming establishments (S),"hairdressing salons or barbers for women, men and children facial beauty treatments, depilation, solarium, pedicure, body care, manicure, thalassotherapy, turkish baths, saunas, non medical massages and so on diet clubs and tattoo and piercing services"
13.2.1,Jewellery and watches (D),"precious stones and metals and jewellery fashioned out of such stones and metals costume jewellery, cuff links and tiepins watches and stopwatches repair, remodelling and hire of jewellery and watches"
13.2.2,Devotional articles and articles for religious and ritual celebrations (SD),"religious and ritual articles, such as crucifixes and rosaries, figurines, pictures, votive candles, amulets, strips of paper with prayers, menorah chandeliers, advent wreaths and others articles to be used in religious celebrations and rituals"
13.2.9,Other personal effects n.e.c. (SD),"travel goods and other carriers of personal effects suitcases, trunks, travel bags, attache cases, satchels, handbags, wallets, purses, backpacks for school and travel and so on articles for babies diapers nappies of any material, baby carriages, pushchairs strollers, carrycots, recliners, back carriers, front carriers, harnesses for babies and so on articles for smokers pipes, lighters, cigarette cases, cigar cutters, ashtrays, electronic cigarette devices and so on miscellaneous personal articles non corrective sunglasses, protective glasses, umbrellas and parasols, fans, key rings, pill organizers, ear plugs and so on funerary articles coffins, gravestones, urns, burial shrouds, and so on lighter fuel wall thermometers and barometers repair and hire of other personal effects"
13.3.0,Social protection (S),"social protection services include residential care, home help and day care non medical retirement homes for elderly persons, non medical residences for disabled persons, rehabilitation centres providing non medical long term support for individuals rather than health care and rehabilitative therapy, schools for disabled persons where the main aim is to help students to overcome their disability non medical help to maintain elderly and disabled persons at home home cleaning services, meal programmes, non medical day care centres, day care services and holiday care services child minding outside the home, including after school centers, nurseries, day care facilities, wet nurses, creches, kindergartens other than educational , play schools and other child minding facilities counselling, guidance, arbitration, fostering and adoption services for families"
13.9.0,Other services (S),"fees for legal services, employment agencies and so on services of lawyers, notaries, accountants and so on services of undertakers and other funeral services services of estate agents, housing agents, auctioneers, salesroom operators and other intermediaries photocopies and other reproductions of documents fees for the issue of birth, marriage and death certificates and other administrative documents expenditures for religious services e g , requiems, baptizing and marriage services expenditures for non religious services and events, such as coming of age celebrations in latin american quince or debutante balls newspaper notices and advertisements services of graphologists, astrologers, palmists, private detectives, bodyguards, dating services, matrimonial agencies and marriage guidance counsellors, public writers, miscellaneous concessions seats, toilets and cloakrooms and so on services provided by prostitutes, sex workers and the like firearm licences"
14.1.0,Housing (S),the same function is covered under copni class this class corresponds to coicop classes and
14.2.1,Pharmaceutical products (ND),the same function is covered under copni class this class corresponds to coicop classes and
14.2.2,Other medical products (ND),the same function is covered under copni class this class corresponds to coicop classes and
14.2.3,Therapeutic appliances and equipment (D),the same function is covered under copni class this class corresponds to coicop classes and
14.2.4,Outpatient medical services (S),"the same function is covered under copni class this class corresponds to coicop classes , and"
14.2.5,Outpatient dental services (S),the same function is covered under copni class this class corresponds to coicop classes and
14.2.6,Outpatient paramedical services (S),"the same function is covered under copni class this class corresponds to coicop classes , , , and"
14.2.7,Hospital services (S),the same function is covered under copni class this class corresponds to coicop groups and
14.2.8,Other health services (S),"the same function is covered under copni classes , and"
14.3.1,Recreational and sporting services (S),the same function is covered under copni class this class corresponds to coicop group and class
14.3.2,Cultural services (S),the same function is covered under copni class this class corresponds to coicop group and class
14.4.1,Pre-primary and primary education (S),the same function is covered under copni class this class corresponds to coicop classes and
14.4.2,Secondary education (S),the same function is covered under copni class this class corresponds to coicop classes and
14.4.3,Post-secondary non-tertiary education (S),the same function is covered under copni class this class corresponds to coicop classes and
14.4.4,Tertiary education (S),the same function is covered under copni class this class corresponds to coicop classes and
14.4.5,Education not defined by level (S),the same function is covered under copni class this class corresponds to coicop classes and
14.4.6,Other educational services (S),the same function is covered under copni classes and
14.5.0,Social protection (S),the same function is covered under copni classes and this class corresponds to coicop classes and
14.6.1,Religion (S),the same function is covered under copni class this class corresponds to coicop subclass
14.6.2,"Political parties, labour and professional organizations (S)","the same function is covered under copni classes , and"
14.6.3,Environmental protection (S),the same function is covered under copni classes and
14.6.4,Services n.e.c. (S),the same function is covered under copni classes and
15.1.0,Housing (S),the same function is covered under cofog class this class corresponds to coicop classes and
15.2.1,Pharmaceutical products (ND),the same function is covered under cofog class this class corresponds to coicop classes and
15.2.2,Other medical products (ND),the same function is covered under cofog class this class corresponds to coicop classes and
15.2.3,Therapeutic appliances and equipment (D),the same function is covered under cofog class this class corresponds to coicop classes and
15.2.4,Outpatient medical services (S),"the same function is covered under cofog classes and this class corresponds to coicop classes , and"
15.2.5,Outpatient dental services (S),the same function is covered under cofog class this class corresponds to coicop classes and
15.2.6,Outpatient paramedical services (S),"the same function is covered under cofog class this class corresponds to coicop classes , , , and"
15.2.7,Hospital services (S),"the same function is covered under cofog classes , , and this class corresponds to coicop group and class"
15.2.8,Public health services (S),the same function is covered under cofog class
15.3.1,Recreational and sporting services (S),the same function is covered under cofog class this class corresponds to coicop group and class
15.3.2,Cultural services (S),the same function is covered under cofog class this class corresponds to coicop group and class
15.4.1,Pre-primary and primary education (S),the same function is covered under cofog classes and this class corresponds to coicop classes and
15.4.2,Secondary education (S),the same function is covered under cofog classes and this class corresponds to coicop classes and
15.4.3,Post-secondary non-tertiary education (S),the same function is covered under cofog class this class corresponds to coicop classes and
15.4.4,Tertiary education (S),the same function is covered under cofog classes and this class corresponds to coicop classes and
15.4.5,Education not defined by level (S),the same function is covered under cofog class this class corresponds to coicop classes and
15.4.6,Subsidiary services to education (S),the same function is covered under cofog class
15.5.0,Social protection (S),the same function is covered under cofog classes to and this class corresponds to coicop classes and
