date,ym,new_caledonia_les_nouvelles_caledoniennes_body_count,new_caledonia_les_nouvelles_caledoniennes_epu_count,new_caledonia_les_nouvelles_caledoniennes_ratio,news_total,new_caledonia_les_nouvelles_caledoniennes_weights,new_caledonia_les_nouvelles_caledoniennes_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_job
2025-08-01,2025-8,86,0.0,0.0,86,1.0,,,0,,,
2025-09-01,2025-9,142,0.0,0.0,142,1.0,,,0,,,
2025-10-01,2025-10,163,0.0,0.0,163,1.0,,,0,,,
2025-11-01,2025-11,139,0.0,0.0,139,1.0,,,0,,,
2025-12-01,2025-12,137,0.0,0.0,137,1.0,,,0,,,
