date,ym,new_caledonia_les_nouvelles_caledoniennes_body_count,new_caledonia_les_nouvelles_caledoniennes_epu_count,new_caledonia_les_nouvelles_caledoniennes_ratio,news_total,new_caledonia_les_nouvelles_caledoniennes_weights,new_caledonia_les_nouvelles_caledoniennes_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2025-08-01,2025-8,86,2,0.023255813953488372,86,1.0,,,0,,,
2025-09-01,2025-9,142,1,0.007042253521126761,142,1.0,,,0,,,
2025-10-01,2025-10,163,1,0.006134969325153374,163,1.0,,,0,,,
2025-11-01,2025-11,139,1,0.007194244604316547,139,1.0,,,0,,,
2025-12-01,2025-12,137,3,0.021897810218978103,137,1.0,,,0,,,
