date,ym,new_caledonia_les_nouvelles_caledoniennes_body_count,new_caledonia_les_nouvelles_caledoniennes_epu_count,new_caledonia_les_nouvelles_caledoniennes_ratio,news_total,new_caledonia_les_nouvelles_caledoniennes_weights,new_caledonia_les_nouvelles_caledoniennes_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
2025-08-01,2025-8,86,5,0.05813953488372093,86,1.0,,,0,,
2025-09-01,2025-9,142,2,0.014084507042253521,142,1.0,,,0,,
2025-10-01,2025-10,163,2,0.012269938650306749,163,1.0,,,0,,
2025-11-01,2025-11,139,3,0.02158273381294964,139,1.0,,,0,,
2025-12-01,2025-12,137,7,0.051094890510948905,137,1.0,,,0,,
