date,ym,french_polynesia_tahiti_infos_body_count,french_polynesia_tahiti_infos_epu_count,french_polynesia_tahiti_infos_ratio,news_total,french_polynesia_tahiti_infos_weights,french_polynesia_tahiti_infos_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_job
2018-07-01,2018-7,350,0.0,0.0,350,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-01,2018-8,279,0.0,0.0,279,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,2018-9,312,1.0,0.003205128205128205,312,1.0,1.9992821431320975,1.9992821431320975,1.9992821431320975,311.6350833099814,311.6350833099814,311.6350833099814
2018-10-01,2018-10,370,0.0,0.0,370,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-01,2018-11,315,0.0,0.0,315,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-01,2018-12,256,0.0,0.0,256,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,2019-1,259,0.0,0.0,259,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-01,2019-2,291,1.0,0.003436426116838488,291,1.0,2.143560235935445,2.143560235935445,2.143560235935445,334.12421303338215,334.12421303338215,334.12421303338215
2019-03-01,2019-3,311,0.0,0.0,311,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,2019-4,272,0.0,0.0,272,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,2019-5,305,0.0,0.0,305,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-01,2019-6,282,0.0,0.0,282,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,2019-7,314,0.0,0.0,314,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-01,2019-8,258,0.0,0.0,258,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,2019-9,254,1.0,0.003937007874015748,254,1.0,2.455811136445726,2.455811136445726,2.455811136445726,382.7958503650165,382.7958503650165,382.7958503650165
2019-10-01,2019-10,270,0.0,0.0,270,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,2019-11,242,0.0,0.0,242,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,2019-12,226,0.0,0.0,226,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,2020-1,225,0.0,0.0,225,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,2020-2,249,1.0,0.004016064257028112,249,1.0,2.505124613081182,2.505124613081182,2.505124613081182,390.48251402696457,390.48251402696457,390.48251402696457
2020-03-01,2020-3,298,1.0,0.003355704697986577,298,1.0,2.0932081498564243,2.0932081498564243,2.0932081498564243,326.2756576936718,326.2756576936718,326.2756576936718
2020-04-01,2020-4,260,0.0,0.0,260,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,2020-5,282,1.0,0.0035460992907801418,282,1.0,2.2119717328270014,2.2119717328270014,2.2119717328270014,344.78775174721346,344.78775174721346,344.78775174721346
2020-06-01,2020-6,283,0.0,0.0,283,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,2020-7,307,0.0,0.0,307,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-01,2020-8,279,0.0,0.0,279,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01,2020-9,320,1.0,0.003125,320,1.0,1.949300089553795,1.949300089553795,1.949300089553795,303.84420622723184,303.84420622723184,303.84420622723184
2020-10-01,2020-10,279,0.0,0.0,279,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,2020-11,265,1.0,0.0037735849056603774,265,1.0,2.3538718062536392,2.3538718062536392,2.3538718062536392,366.9062112932611,366.9062112932611,366.9062112932611
2020-12-01,2020-12,303,0.0,0.0,303,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,2021-1,269,0.0,0.0,269,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,2021-2,294,0.0,0.0,294,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,2021-3,366,0.0,0.0,366,1.0,0.0,0.0,0.0,0.0,0.0,0.0
