date,ym,french_polynesia_tahiti_infos_body_count,french_polynesia_tahiti_infos_epu_count,french_polynesia_tahiti_infos_ratio,news_total,french_polynesia_tahiti_infos_weights,french_polynesia_tahiti_infos_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2015-01-01,2015-1,310,0.0,0.0,310,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-01,2015-2,355,1.0,0.0028169014084507044,355,1.0,0.8184637410499268,0.8184637410499268,0.8184637410499268,63.21116682619348,63.21116682619348,63.21116682619348
2015-03-01,2015-3,373,2.0,0.005361930294906166,373,1.0,1.5579336625883324,1.5579336625883324,1.5579336625883324,120.32152398551573,120.32152398551573,120.32152398551573
2015-04-01,2015-4,346,2.0,0.005780346820809248,346,1.0,1.6795065206515838,1.6795065206515838,1.6795065206515838,129.7107758572178,129.7107758572178,129.7107758572178
2015-05-01,2015-5,294,2.0,0.006802721088435374,294,1.0,1.9765620957328163,1.9765620957328163,1.9765620957328163,152.65281784556927,152.65281784556927,152.65281784556927
2015-06-01,2015-6,333,2.0,0.006006006006006006,333,1.0,1.7450728412776215,1.7450728412776215,1.7450728412776215,134.77455989969178,134.77455989969178,134.77455989969178
2015-07-01,2015-7,382,1.0,0.002617801047120419,382,1.0,0.7606142096144608,0.7606142096144608,0.7606142096144608,58.74336184109603,58.74336184109603,58.74336184109603
2015-08-01,2015-8,377,1.0,0.002652519893899204,377,1.0,0.7707019312273846,0.7707019312273846,0.7707019312273846,59.52245152068616,59.52245152068616,59.52245152068616
2015-09-01,2015-9,395,4.0,0.010126582278481013,395,1.0,2.942325347571889,2.942325347571889,2.942325347571889,227.2401440334044,227.2401440334044,227.2401440334044
2015-10-01,2015-10,399,1.0,0.002506265664160401,399,1.0,0.7282070879015639,0.7282070879015639,0.7282070879015639,56.240511837841304,56.240511837841304,56.240511837841304
2015-11-01,2015-11,380,3.0,0.007894736842105263,380,1.0,2.2938523268899265,2.2938523268899265,2.2938523268899265,177.15761228920013,177.15761228920013,177.15761228920013
2015-12-01,2015-12,413,5.0,0.012106537530266344,413,1.0,3.517610509355012,3.517610509355012,3.517610509355012,271.6702690471995,271.6702690471995,271.6702690471995
2016-01-01,2016-1,387,6.0,0.015503875968992248,387,1.0,4.504722915856186,4.504722915856186,4.504722915856186,347.9064220666462,347.9064220666462,347.9064220666462
2016-02-01,2016-2,420,1.0,0.002380952380952381,420,1.0,0.6917967335064857,0.6917967335064857,0.6917967335064857,53.428486245949244,53.428486245949244,53.428486245949244
2016-03-01,2016-3,403,0.0,0.0,403,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,2016-4,393,1.0,0.002544529262086514,393,1.0,0.73932475336571,0.73932475336571,0.73932475336571,57.09914560635798,57.09914560635798,57.09914560635798
2016-05-01,2016-5,344,2.0,0.005813953488372093,344,1.0,1.6892710934460697,1.6892710934460697,1.6892710934460697,130.46490827499233,130.46490827499233,130.46490827499233
2016-06-01,2016-6,404,1.0,0.0024752475247524753,404,1.0,0.7191946239423862,0.7191946239423862,0.7191946239423862,55.54446589925417,55.54446589925417,55.54446589925417
2016-07-01,2016-7,336,2.0,0.005952380952380952,336,1.0,1.7294918337662142,1.7294918337662142,1.7294918337662142,133.5712156148731,133.5712156148731,133.5712156148731
2016-08-01,2016-8,345,2.0,0.005797101449275362,345,1.0,1.6843746554940522,1.6843746554940522,1.6843746554940522,130.08674912057208,130.08674912057208,130.08674912057208
2016-09-01,2016-9,380,2.0,0.005263157894736842,380,1.0,1.5292348845932842,1.5292348845932842,1.5292348845932842,118.10507485946674,118.10507485946674,118.10507485946674
2016-10-01,2016-10,386,4.0,0.010362694300518135,386,1.0,3.0109287883183837,3.0109287883183837,3.0109287883183837,232.53848936060814,232.53848936060814,232.53848936060814
2016-11-01,2016-11,361,0.0,0.0,361,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-01,2016-12,346,1.0,0.002890173410404624,346,1.0,0.8397532603257919,0.8397532603257919,0.8397532603257919,64.8553879286089,64.8553879286089,64.8553879286089
2017-01-01,2017-1,350,2.0,0.005714285714285714,350,1.0,1.6603121604155657,1.6603121604155657,1.6603121604155657,128.22836699027818,128.22836699027818,128.22836699027818
2017-02-01,2017-2,386,2.0,0.0051813471502590676,386,1.0,1.5054643941591919,1.5054643941591919,1.5054643941591919,116.26924468030407,116.26924468030407,116.26924468030407
2017-03-01,2017-3,427,2.0,0.00468384074941452,427,1.0,1.3609116068980047,1.3609116068980047,1.3609116068980047,105.10521884449032,105.10521884449032,105.10521884449032
2017-04-01,2017-4,307,3.0,0.009771986970684038,307,1.0,2.839296039798606,2.839296039798606,2.839296039798606,219.2830380126907,219.2830380126907,219.2830380126907
2017-05-01,2017-5,356,0.0,0.0,356,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-01,2017-6,320,1.0,0.003125,320,1.0,0.9079832127272626,0.9079832127272626,0.9079832127272626,70.12488819780839,70.12488819780839,70.12488819780839
2017-07-01,2017-7,286,1.0,0.0034965034965034965,286,1.0,1.0159252729815524,1.0159252729815524,1.0159252729815524,78.4614133681772,78.4614133681772,78.4614133681772
2017-08-01,2017-8,322,1.0,0.003105590062111801,322,1.0,0.9023435654432422,0.9023435654432422,0.9023435654432422,69.68932988602076,69.68932988602076,69.68932988602076
2017-09-01,2017-9,307,3.0,0.009771986970684038,307,1.0,2.839296039798606,2.839296039798606,2.839296039798606,219.2830380126907,219.2830380126907,219.2830380126907
2017-10-01,2017-10,322,2.0,0.006211180124223602,322,1.0,1.8046871308864845,1.8046871308864845,1.8046871308864845,139.37865977204152,139.37865977204152,139.37865977204152
2017-11-01,2017-11,304,1.0,0.003289473684210526,304,1.0,0.9557718028708025,0.9557718028708025,0.9557718028708025,73.8156717871667,73.8156717871667,73.8156717871667
2017-12-01,2017-12,300,1.0,0.0033333333333333335,300,1.0,0.9685154269090801,0.9685154269090801,0.9685154269090801,74.79988074432895,74.79988074432895,74.79988074432895
2018-01-01,2018-1,311,1.0,0.003215434083601286,311,1.0,0.9342592542531318,0.9342592542531318,0.9342592542531318,72.15422579838804,72.15422579838804,72.15422579838804
2018-02-01,2018-2,313,1.0,0.003194888178913738,313,1.0,0.9282895465582236,0.9282895465582236,0.9282895465582236,71.69317643226415,71.69317643226415,71.69317643226415
2018-03-01,2018-3,318,1.0,0.0031446540880503146,318,1.0,0.9136937989708303,0.9136937989708303,0.9136937989708303,70.565925230499,70.565925230499,70.565925230499
2018-04-01,2018-4,251,0.0,0.0,251,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,2018-5,271,1.0,0.0036900369003690036,271,1.0,1.072157299161343,1.072157299161343,1.072157299161343,82.80429602693239,82.80429602693239,82.80429602693239
2018-06-01,2018-6,304,0.0,0.0,304,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,2018-7,350,0.0,0.0,350,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-01,2018-8,279,0.0,0.0,279,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,2018-9,312,2.0,0.00641025641025641,312,1.0,1.8625296671328462,1.8625296671328462,1.8625296671328462,143.84592450832488,143.84592450832488,143.84592450832488
2018-10-01,2018-10,370,1.0,0.002702702702702703,370,1.0,0.7852827785749298,0.7852827785749298,0.7852827785749298,60.648551954861304,60.648551954861304,60.648551954861304
2018-11-01,2018-11,315,1.0,0.0031746031746031746,315,1.0,0.9223956446753143,0.9223956446753143,0.9223956446753143,71.23798166126566,71.23798166126566,71.23798166126566
2018-12-01,2018-12,256,2.0,0.0078125,256,1.0,2.2699580318181565,2.2699580318181565,2.2699580318181565,175.31222049452097,175.31222049452097,175.31222049452097
2019-01-01,2019-1,259,0.0,0.0,259,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-01,2019-2,291,1.0,0.003436426116838488,291,1.0,0.9984695122774021,0.9984695122774021,0.9984695122774021,77.11327911786489,77.11327911786489,77.11327911786489
2019-03-01,2019-3,311,2.0,0.006430868167202572,311,1.0,1.8685185085062637,1.8685185085062637,1.8685185085062637,144.30845159677608,144.30845159677608,144.30845159677608
2019-04-01,2019-4,272,2.0,0.007352941176470588,272,1.0,2.1364310887700295,2.1364310887700295,2.1364310887700295,164.99973693601973,164.99973693601973,164.99973693601973
2019-05-01,2019-5,305,0.0,0.0,305,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-01,2019-6,282,0.0,0.0,282,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,2019-7,314,1.0,0.0031847133757961785,314,1.0,0.9253332104226879,0.9253332104226879,0.9253332104226879,71.46485421432702,71.46485421432702,71.46485421432702
2019-08-01,2019-8,258,0.0,0.0,258,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,2019-9,254,2.0,0.007874015748031496,254,1.0,2.287831717108063,2.287831717108063,2.287831717108063,176.69263167951718,176.69263167951718,176.69263167951718
2019-10-01,2019-10,270,1.0,0.003703703703703704,270,1.0,1.0761282521212001,1.0761282521212001,1.0761282521212001,83.11097860480994,83.11097860480994,83.11097860480994
2019-11-01,2019-11,242,2.0,0.008264462809917356,242,1.0,2.4012779179563966,2.4012779179563966,2.4012779179563966,185.45424977932794,185.45424977932794,185.45424977932794
2019-12-01,2019-12,226,0.0,0.0,226,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,2020-1,225,2.0,0.008888888888888889,225,1.0,2.58270780509088,2.58270780509088,2.58270780509088,199.46634865154383,199.46634865154383,199.46634865154383
2020-02-01,2020-2,249,2.0,0.008032128514056224,249,1.0,2.3337721130339277,2.3337721130339277,2.3337721130339277,180.2406764923589,180.2406764923589,180.2406764923589
2020-03-01,2020-3,298,1.0,0.003355704697986577,298,1.0,0.9750155304453826,0.9750155304453826,0.9750155304453826,75.30189336677411,75.30189336677411,75.30189336677411
2020-04-01,2020-4,260,2.0,0.007692307692307693,260,1.0,2.2350356005594154,2.2350356005594154,2.2350356005594154,172.61510940998986,172.61510940998986,172.61510940998986
2020-05-01,2020-5,282,1.0,0.0035460992907801418,282,1.0,1.0303355605415745,1.0303355605415745,1.0303355605415745,79.57434121737121,79.57434121737121,79.57434121737121
2020-06-01,2020-6,283,0.0,0.0,283,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,2020-7,307,1.0,0.003257328990228013,307,1.0,0.946432013266202,0.946432013266202,0.946432013266202,73.09434600423023,73.09434600423023,73.09434600423023
2020-08-01,2020-8,279,0.0,0.0,279,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01,2020-9,320,2.0,0.00625,320,1.0,1.8159664254545251,1.8159664254545251,1.8159664254545251,140.24977639561678,140.24977639561678,140.24977639561678
2020-10-01,2020-10,279,3.0,0.010752688172043012,279,1.0,3.1242433126099356,3.1242433126099356,3.1242433126099356,241.28993788493207,241.28993788493207,241.28993788493207
2020-11-01,2020-11,265,2.0,0.007547169811320755,265,1.0,2.1928651175299927,2.1928651175299927,2.1928651175299927,169.3582205531976,169.3582205531976,169.3582205531976
2020-12-01,2020-12,303,2.0,0.006600660066006601,303,1.0,1.9178523305130297,1.9178523305130297,1.9178523305130297,148.11857573134444,148.11857573134444,148.11857573134444
2021-01-01,2021-1,269,0.0,0.0,269,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,2021-2,294,2.0,0.006802721088435374,294,1.0,1.9765620957328163,1.9765620957328163,1.9765620957328163,152.65281784556927,152.65281784556927,152.65281784556927
2021-03-01,2021-3,366,2.0,0.00546448087431694,366,1.0,1.587730208047672,1.587730208047672,1.587730208047672,122.62275531857203,122.62275531857203,122.62275531857203
2021-04-01,2021-4,283,0.0,0.0,283,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,2021-5,304,0.0,0.0,304,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,2021-6,287,0.0,0.0,287,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,2021-7,262,0.0,0.0,262,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,2021-8,299,0.0,0.0,299,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01,2021-9,278,1.0,0.0035971223021582736,278,1.0,1.0451605326356979,1.0451605326356979,1.0451605326356979,80.71929576726144,80.71929576726144,80.71929576726144
2021-10-01,2021-10,282,4.0,0.014184397163120567,282,1.0,4.121342242166298,4.121342242166298,4.121342242166298,318.29736486948485,318.29736486948485,318.29736486948485
2021-11-01,2021-11,272,1.0,0.003676470588235294,272,1.0,1.0682155443850148,1.0682155443850148,1.0682155443850148,82.49986846800986,82.49986846800986,82.49986846800986
2021-12-01,2021-12,249,3.0,0.012048192771084338,249,1.0,3.5006581695508916,3.5006581695508916,3.5006581695508916,270.36101473853836,270.36101473853836,270.36101473853836
2022-01-01,2022-1,253,0.0,0.0,253,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,2022-2,230,0.0,0.0,230,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,2022-3,307,6.0,0.019543973941368076,307,1.0,5.678592079597212,5.678592079597212,5.678592079597212,438.5660760253814,438.5660760253814,438.5660760253814
2022-04-01,2022-4,273,0.0,0.0,273,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,2022-5,287,0.0,0.0,287,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,2022-6,337,2.0,0.005934718100890208,337,1.0,1.7243598105206173,1.7243598105206173,1.7243598105206173,133.17486185933936,133.17486185933936,133.17486185933936
2022-07-01,2022-7,219,0.0,0.0,219,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,2022-8,253,3.0,0.011857707509881422,253,1.0,3.4453117953287427,3.4453117953287427,3.4453117953287427,266.0865322920792,266.0865322920792,266.0865322920792
2022-09-01,2022-9,244,3.0,0.012295081967213115,244,1.0,3.572392968107262,3.572392968107262,3.572392968107262,275.9011994667871,275.9011994667871,275.9011994667871
2022-10-01,2022-10,225,3.0,0.013333333333333334,225,1.0,3.8740617076363204,3.8740617076363204,3.8740617076363204,299.1995229773158,299.1995229773158,299.1995229773158
2022-11-01,2022-11,267,0.0,0.0,267,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,2022-12,268,3.0,0.011194029850746268,268,1.0,3.252477179918552,3.252477179918552,3.252477179918552,251.19362936528373,251.19362936528373,251.19362936528373
2023-01-01,2023-1,232,2.0,0.008620689655172414,232,1.0,2.504781276489,2.504781276489,2.504781276489,193.44796744223004,193.44796744223004,193.44796744223004
2023-02-01,2023-2,237,0.0,0.0,237,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,2023-3,244,0.0,0.0,244,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,2023-4,211,0.0,0.0,211,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01,2023-5,174,1.0,0.005747126436781609,174,1.0,1.669854184326,1.669854184326,1.669854184326,128.96531162815333,128.96531162815333,128.96531162815333
2023-06-01,2023-6,189,1.0,0.005291005291005291,189,1.0,1.537326074458857,1.537326074458857,1.537326074458857,118.72996943544275,118.72996943544275,118.72996943544275
2023-07-01,2023-7,191,2.0,0.010471204188481676,191,1.0,3.042456838457843,3.042456838457843,3.042456838457843,234.97344736438413,234.97344736438413,234.97344736438413
2023-08-01,2023-8,187,0.0,0.0,187,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-01,2023-9,181,1.0,0.0055248618784530384,181,1.0,1.6052741882470938,1.6052741882470938,1.6052741882470938,123.97770289115293,123.97770289115293,123.97770289115293
2023-10-01,2023-10,209,4.0,0.019138755980861243,209,1.0,5.56085412579376,5.56085412579376,5.56085412579376,429.47299948896995,429.47299948896995,429.47299948896995
2023-11-01,2023-11,224,1.0,0.004464285714285714,224,1.0,1.2971188753246607,1.2971188753246607,1.2971188753246607,100.17841171115484,100.17841171115484,100.17841171115484
2023-12-01,2023-12,167,1.0,0.005988023952095809,167,1.0,1.7398480722917606,1.7398480722917606,1.7398480722917606,134.37104325328554,134.37104325328554,134.37104325328554
2024-01-01,2024-1,219,2.0,0.0091324200913242,219,1.0,2.6534669230385752,2.6534669230385752,2.6534669230385752,204.93118012144913,204.93118012144913,204.93118012144913
2024-02-01,2024-2,177,2.0,0.011299435028248588,177,1.0,3.283103142064678,3.283103142064678,3.283103142064678,253.55891777738623,253.55891777738623,253.55891777738623
2024-03-01,2024-3,172,0.0,0.0,172,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,2024-4,220,0.0,0.0,220,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-01,2024-5,192,2.0,0.010416666666666666,192,1.0,3.0266107090908747,3.0266107090908747,3.0266107090908747,233.7496273260279,233.7496273260279,233.7496273260279
2024-06-01,2024-6,197,0.0,0.0,197,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-01,2024-7,205,0.0,0.0,205,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01,2024-8,196,1.0,0.00510204081632653,196,1.0,1.482421571799612,1.482421571799612,1.482421571799612,114.48961338417693,114.48961338417693,114.48961338417693
2024-09-01,2024-9,202,1.0,0.0049504950495049506,202,1.0,1.4383892478847724,1.4383892478847724,1.4383892478847724,111.08893179850834,111.08893179850834,111.08893179850834
2024-10-01,2024-10,254,6.0,0.023622047244094488,254,1.0,6.863495151324189,6.863495151324189,6.863495151324189,530.0778950385516,530.0778950385516,530.0778950385516
2024-11-01,2024-11,202,0.0,0.0,202,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01,2024-12,189,3.0,0.015873015873015872,189,1.0,4.611978223376571,4.611978223376571,4.611978223376571,356.1899083063283,356.1899083063283,356.1899083063283
2025-01-01,2025-1,181,4.0,0.022099447513812154,181,1.0,6.421096752988375,6.421096752988375,6.421096752988375,495.9108115646117,495.9108115646117,495.9108115646117
2025-02-01,2025-2,196,1.0,0.00510204081632653,196,1.0,1.482421571799612,1.482421571799612,1.482421571799612,114.48961338417693,114.48961338417693,114.48961338417693
2025-03-01,2025-3,238,0.0,0.0,238,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-01,2025-4,202,1.0,0.0049504950495049506,202,1.0,1.4383892478847724,1.4383892478847724,1.4383892478847724,111.08893179850834,111.08893179850834,111.08893179850834
2025-05-01,2025-5,176,1.0,0.005681818181818182,176,1.0,1.6508785685950227,1.6508785685950227,1.6508785685950227,127.49979672328796,127.49979672328796,127.49979672328796
2025-06-01,2025-6,186,0.0,0.0,186,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-01,2025-7,234,0.0,0.0,234,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-01,2025-8,213,2.0,0.009389671361502348,213,1.0,2.7282124701664228,2.7282124701664228,2.7282124701664228,210.7038894206449,210.7038894206449,210.7038894206449
2025-09-01,2025-9,235,1.0,0.00425531914893617,235,1.0,1.2364026726498893,1.2364026726498893,1.2364026726498893,95.48920946084546,95.48920946084546,95.48920946084546
2025-10-01,2025-10,288,5.0,0.017361111111111112,288,1.0,5.044351181818126,5.044351181818126,5.044351181818126,389.5827122100466,389.5827122100466,389.5827122100466
2025-11-01,2025-11,197,1.0,0.005076142131979695,197,1.0,1.4748965892016446,1.4748965892016446,1.4748965892016446,113.90844783400345,113.90844783400345,113.90844783400345
2025-12-01,2025-12,184,0.0,0.0,184,1.0,0.0,0.0,0.0,0.0,0.0,0.0
