date,ym,french_polynesia_tahiti_infos_body_count,french_polynesia_tahiti_infos_epu_count,french_polynesia_tahiti_infos_ratio,news_total,french_polynesia_tahiti_infos_weights,french_polynesia_tahiti_infos_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
2015-01-01,2015-1,310,1.0,0.0032258064516129032,310,1.0,0.4663187372409748,0.4663187372409748,0.4663187372409748,26.937098427357128,26.937098427357128
2015-02-01,2015-2,355,2.0,0.005633802816901409,355,1.0,0.8144158227870546,0.8144158227870546,0.8144158227870546,47.04507330975048,47.04507330975048
2015-03-01,2015-3,373,5.0,0.013404825737265416,373,1.0,1.9377856373284477,1.9377856373284477,1.9377856373284477,111.93700418874947,111.93700418874947
2015-04-01,2015-4,346,4.0,0.011560693641618497,346,1.0,1.6712000987826843,1.6712000987826843,1.6712000987826843,96.53757817896775,96.53757817896775
2015-05-01,2015-5,294,6.0,0.02040816326530612,294,1.0,2.9501797662184117,2.9501797662184117,2.9501797662184117,170.41837780572877,170.41837780572877
2015-06-01,2015-6,333,3.0,0.009009009009009009,333,1.0,1.3023316085108305,1.3023316085108305,1.3023316085108305,75.22973434667307,75.22973434667307
2015-07-01,2015-7,382,4.0,0.010471204188481676,382,1.0,1.5137048015152061,1.5137048015152061,1.5137048015152061,87.43979594220639,87.43979594220639
2015-08-01,2015-8,377,2.0,0.005305039787798408,377,1.0,0.7668902310063777,0.7668902310063777,0.7668902310063777,44.29973746674117,44.29973746674117
2015-09-01,2015-9,395,7.0,0.017721518987341773,395,1.0,2.5618016704124438,2.5618016704124438,2.5618016704124438,147.9835533857341,147.9835533857341
2015-10-01,2015-10,399,4.0,0.010025062656641603,399,1.0,1.449211113230097,1.449211113230097,1.449211113230097,83.71429085193694,83.71429085193694
2015-11-01,2015-11,380,5.0,0.013157894736842105,380,1.0,1.9020895861145024,1.9020895861145024,1.9020895861145024,109.87500674316723,109.87500674316723
2015-12-01,2015-12,413,5.0,0.012106537530266344,413,1.0,1.750106640977024,1.750106640977024,1.750106640977024,101.09564785085605,101.09564785085605
2016-01-01,2016-1,387,9.0,0.023255813953488372,387,1.0,3.361832756853539,3.361832756853539,3.361832756853539,194.19768633676068,194.19768633676068
2016-02-01,2016-2,420,7.0,0.016666666666666666,420,1.0,2.4093134757450363,2.4093134757450363,2.4093134757450363,139.17500854134516,139.17500854134516
